"机构名称(中文)"	"机构ID"	"apply_numb"	"notice_date"	"name"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00214286.4"	"2001.02.14"	"电驱动上下平移高压灭菌器密封门"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00214285.6"	"2001.02.28"	"新型软包装快冷灭菌器"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00214279.1"	"2001.02.21"	"连接灭菌器内导轨与外搬运车的导向锁止装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00214486.7"	"2001.02.14"	"台式灭菌器"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00214579.0"	"2001.03.14"	"双扉回转水浴灭菌器"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00247452.2"	"2001.07.25"	"强制通风式软包装灭菌器"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00111362.3"	"2002.03.27"	"强制通风式软包装灭菌器"
"山东新华医疗器械股份有限公司"	"03130186"	"CN00129168.8"	"2001.10.24"	"卧式回转放射治疗机"
"宝山钢铁股份有限公司"	"02600019"	"CN00265599.3"	"2001.10.24"	"插接式汽车电源状态显示器"
"上海贝岭股份有限公司"	"02600171"	"CN01112662.0"	"2002.11.27"	"双极型集成电路制造工艺"
"山东新华医疗器械股份有限公司"	"03130186"	"CN01317032.5"	"2001.11.28"	"台式灭菌器"
"山东新华医疗器械股份有限公司"	"03130186"	"CN01236677.3"	"2002.02.13"	"压力式灭菌器的门开关装置"
"天津环球磁卡股份有限公司"	"02600800"	"CN01229321.0"	"2002.04.17"	"带有定位孔的射频激光复合卡"
"天津环球磁卡股份有限公司"	"02600800"	"CN01229322.9"	"2002.04.17"	"射频激光复合卡"
"安徽四创电子股份有限公司"	"03130709"	"CN01244841.9"	"2002.05.01"	"用于直接广播卫星电视的数字一体化调谐器"
"天津环球磁卡股份有限公司"	"02600800"	"CN02202813.7"	"2002.11.20"	"无通孔旋转读写式射频激光复合卡"
"天津环球磁卡股份有限公司"	"02600800"	"CN02103729.9"	"2002.08.28"	"无通孔旋转读写式射频激光复合卡"
"山东新华医疗器械股份有限公司"	"03130186"	"CN02268499.9"	"2003.10.15"	"组合式放射治疗床"
"山东新华医疗器械股份有限公司"	"03130186"	"CN02268500.6"	"2003.06.25"	"双向回转角度标尺"
"山东新华医疗器械股份有限公司"	"03130186"	"CN02268973.7"	"2003.07.02"	"强制通风干燥式软包装水浴灭菌器"
"上海贝岭股份有限公司"	"02600171"	"CN02137282.9"	"2004.03.31"	"可变频驱动双极型晶体管构成的半桥振荡器及其激励方法"
"上海贝岭股份有限公司"	"02600171"	"CN02145434.5"	"2004.06.09"	"提高半导体集成电路信号噪声比的方法"
"比亚迪股份有限公司"	"T000001787"	"CN02290086.1"	"2004.01.14"	"一种集成电路中电阻的修调装置"
"上海贝岭股份有限公司"	"02600171"	"CN02157799.4"	"2004.07.07"	"PMOS管解决CSLIC1B01集成电路失效的方法"
"深圳迈瑞生物医疗电子股份有限公司"	"T000138376"	"CN02250812.0"	"2003.11.26"	"用于生化分析的液面检测装置"
"上海贝岭股份有限公司"	"02600171"	"CN02158990.9"	"2004.07.14"	"塑料有引线芯片载体封装器件的封装材料可靠性检测方法"
"上海贝岭股份有限公司"	"02600171"	"CN02160554.8"	"2004.07.21"	"集成电路埋层和深磷的制造方法"
"上海贝岭股份有限公司"	"02600171"	"CN02160536.X"	"2004.07.21"	"高压集成电路制造工艺"
"上海贝岭股份有限公司"	"02600171"	"CN02160537.8"	"2004.07.21"	"双极集成电路中硅材料质量的检测方法"
"山东新华医疗器械股份有限公司"	"03130186"	"CN03215355.4"	"2004.03.24"	"手提式电热压力蒸汽消毒装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN03215356.2"	"2004.03.24"	"手提式电热压力蒸汽消毒器"
"中兴通讯股份有限公司"	"01000063"	"CN03115850.1"	"2004.09.22"	"一种用于数字通信的编码装置"
"苏州固锝电子股份有限公司"	"03132158"	"CN03113249.9"	"2003.09.24"	"高承受力二极管及其制备方法和用途"
"上海贝岭股份有限公司"	"02600171"	"CN03116713.6"	"2004.11.03"	"一种半导体集成电路的制造方法及其产品"
"山东新华医疗器械股份有限公司"	"03130186"	"CN03217331.8"	"2004.06.09"	"带开关的印刷电路板接长装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN03217332.6"	"2004.06.09"	"具有电信号采样单元的钛泵电源接头"
"山东新华医疗器械股份有限公司"	"03130186"	"CN03217349.0"	"2004.06.30"	"放射治疗设备旋转治疗头的内置式导线缠绕装置"
"上海航天汽车机电股份有限公司"	"02600151"	"CN03255243.2"	"2004.08.18"	"集成式光电液位传感器"
"上海航天汽车机电股份有限公司"	"02600151"	"CN03255245.9"	"2004.08.18"	"一种用于集成式光电液位传感器的电路"
"中国石油天然气股份有限公司"	"03134153"	"CN03146384.3"	"2005.01.26"	"单形态辐射状嵌段共聚物热塑性弹性体及其制备方法"
"中国石油天然气股份有限公司"	"03134153"	"CN03146385.1"	"2005.01.26"	"含无规渐变链段的单形态辐射状嵌段共聚物及其制备方法"
"山东新华医疗器械股份有限公司"	"03130186"	"CN03139173.7"	"2005.03.09"	"一次性安全自毁注射器"
"山东新华医疗器械股份有限公司"	"03130186"	"CN03270980.3"	"2004.09.15"	"一次性自毁注射器"
"山东新华医疗器械股份有限公司"	"03130186"	"CN03270801.7"	"2004.09.15"	"一次性安全自毁注射器"
"深圳迈瑞生物医疗电子股份有限公司"	"T000138376"	"CN200320128401.2"	"2005.03.30"	"多生理参数一体化测量电路"
"上海贝岭股份有限公司"	"02600171"	"CN200310109389.5"	"2005.06.22"	"灯寿的检测及保护装置"
"上海贝岭股份有限公司"	"02600171"	"CN200310109390.8"	"2005.06.22"	"一种基于变频技术的荧光灯灯丝预热启动装置及其设计方法"
"上海贝岭股份有限公司"	"02600171"	"CN200310122634.6"	"2005.06.29"	"集成电路多晶硅高阻电阻的制作方法"
"上海贝岭股份有限公司"	"02600171"	"CN200310122698.6"	"2005.06.29"	"一种高压集成电路的制造方法"
"贵研铂业股份有限公司"	"03130385"	"CN200310121010.2"	"2004.12.22"	"集成电路用气密封装盖板制备方法"
"贵研铂业股份有限公司"	"03130385"	"CN200320104769.5"	"2005.01.26"	"集成电路用气密封装复合盖板"
"四川长虹电器股份有限公司"	"02600839"	"CN200320104757.2"	"2005.02.02"	"一种对多路音频信号进行多向切换并音效处理的装置"
"上海贝岭股份有限公司"	"02600171"	"CN200320123060.X"	"2005.03.02"	"用于存储器单元中的自举式高压开关电路"
"中兴通讯股份有限公司"	"01000063"	"CN200410000775.5"	"2004.12.29"	"一种实现自动读写内部集成电路设备的装置和方法"
"中兴通讯股份有限公司"	"01000063"	"CN200420005667.2"	"2005.08.17"	"多电源上电顺序控制电路"
"天津环球磁卡股份有限公司"	"02600800"	"CN200420028771.3"	"2005.09.07"	"母婴识别装置"
"广东风华高新科技股份有限公司"	"01000636"	"CN200430039023.0"	"2005.01.26"	"贴片机"
"浙江大华技术股份有限公司"	"03134713"	"CN200420023369.6"	"2005.05.11"	"示波器"
"四川长虹电器股份有限公司"	"02600839"	"CN200420033923.9"	"2005.06.08"	"一种智能图象增强装置"
"方大集团股份有限公司"	"01000055"	"CN200410027646.5"	"2006.01.04"	"倒装焊发光二极管芯片及其制备方法"
"江苏长电科技股份有限公司"	"03130393"	"CN200420078494.7"	"2005.10.12"	"集成电路或分立元件超薄无脚封装结构"
"江苏长电科技股份有限公司"	"03130393"	"CN200710007837.9"	"2007.07.04"	"集成电路或分立元件超薄无脚封装用引线框架"
"江苏长电科技股份有限公司"	"03130393"	"CN200410041645.6"	"2005.03.23"	"集成电路或分立元件超薄无脚封装工艺及其封装结构"
"上海贝岭股份有限公司"	"02600171"	"CN200410066848.0"	"2006.04.05"	"一种提高塑料封装集成电路合格率的方法"
"方大集团股份有限公司"	"01000055"	"CN200420150549.0"	"2006.06.21"	"发光二极管芯片"
"方大集团股份有限公司"	"01000055"	"CN200410077378.8"	"2006.06.14"	"一种发光二极管芯片及其制备方法"
"上海贝岭股份有限公司"	"02600171"	"CN200420110856.6"	"2006.04.05"	"一种电感型荧光灯的启动控制电路"
"上海贝岭股份有限公司"	"02600171"	"CN200410089212.8"	"2006.06.14"	"一种电感型荧光灯的启动控制电路"
"江苏长电科技股份有限公司"	"03130393"	"CN200410066095.3"	"2005.07.06"	"直接连结式芯片封装结构"
"江苏长电科技股份有限公司"	"03130393"	"CN200420054485.4"	"2006.02.15"	"直接连结式芯片封装结构"
"浪潮电子信息产业股份有限公司"	"01000977"	"CN200410075547.4"	"2005.07.27"	"基于CAN总线和LIN总线的车载电脑系统"
"上海贝岭股份有限公司"	"02600171"	"CN200410099042.1"	"2006.07.05"	"一种硅光电二极管的制造方法"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200510042350.5"	"2006.07.26"	"输液袋双口船形焊接口"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520080233.3"	"2006.03.08"	"输液袋双口船形焊接口"
"江苏长电科技股份有限公司"	"03130393"	"CN200520070604.X"	"2006.09.06"	"新型集成电路或分立元件超薄无脚封装结构"
"江苏长电科技股份有限公司"	"03130393"	"CN200510038818.3"	"2005.11.30"	"新型集成电路或分立元件超薄无脚封装工艺及其封装结构"
"比亚迪股份有限公司"	"T000001787"	"CN200520057626.2"	"2006.06.21"	"一种带防静电结构的液晶显示器"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200530092293.2"	"2006.02.15"	"医用电子直线加速器外罩"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200530092294.7"	"2006.02.15"	"放射治疗模拟定位机"
"江苏长电科技股份有限公司"	"03130393"	"CN200520071844.1"	"2006.08.09"	"集成电路或分立元件平面凸点式封装结构"
"江苏长电科技股份有限公司"	"03130393"	"CN200510040261.7"	"2006.01.25"	"集成电路或分立元件平面凸点式封装工艺及其封装结构"
"江苏长电科技股份有限公司"	"03130393"	"CN200510040262.1"	"2006.02.01"	"集成电路或分立元件平面凸点式封装工艺"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520083613.2"	"2006.08.09"	"低冲击安全联轴器"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520083615.1"	"2006.07.26"	"放射治疗机头锁紧定位装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520083616.6"	"2006.07.12"	"放射治疗模拟机准直器的防碰装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520083619.X"	"2006.07.12"	"网架式挡铅固定架"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520083697.X"	"2006.07.26"	"正反多圈限位装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520083698.4"	"2006.07.26"	"放射治疗的远程控制设备"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200510043699.0"	"2006.01.25"	"正反多圈限位装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520083917.9"	"2006.08.09"	"小型电热蒸汽发生器"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520083912.6"	"2006.08.09"	"油缸液压安装机"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520083914.5"	"2006.07.12"	"自动万向调节密封门"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200510043702.9"	"2005.11.30"	"油缸液压安装机"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200530092518.4"	"2007.02.14"	"全自动清洗消毒器(EASY200)"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200530092519.9"	"2006.03.22"	"全自动清洗消毒器(EASY350)"
"天水华天科技股份有限公司"	"03134173"	"CN200510042688.0"	"2006.12.06"	"长引线低弧度大面积薄型集成电路塑封生产方法"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520083932.3"	"2006.07.26"	"放射治疗设备的送丝机构"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520084288.1"	"2006.08.09"	"温控疏水阀"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520084289.6"	"2006.09.20"	"热敏锁"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520084290.9"	"2006.09.20"	"灭菌盒"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520084291.3"	"2006.07.26"	"双向通气阀"
"中兴通讯股份有限公司"	"01000063"	"CN200510075373.6"	"2006.12.20"	"一种宽带码分多址系统同步信道发送码片级实现方法"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200530092773.9"	"2006.04.05"	"灭菌盒"
"天水华天科技股份有限公司"	"03134173"	"CN200520078943.2"	"2007.01.03"	"点接触式硅片测厚仪"
"比亚迪股份有限公司"	"T000001787"	"CN200520034724.4"	"2006.09.06"	"汽车防抱死系统电子控制器"
"江苏长电科技股份有限公司"	"03130393"	"CN200510041043.5"	"2006.02.22"	"集成电路或分立元件平面阵列凸点式封装结构"
"江苏长电科技股份有限公司"	"03130393"	"CN200510041044.X"	"2006.02.22"	"集成电路或分立元件平面排列凸点式封装结构"
"江苏长电科技股份有限公司"	"03130393"	"CN200510041069.X"	"2006.02.22"	"集成电路或分立元件平面围圈凸点式封装结构"
"江苏长电科技股份有限公司"	"03130393"	"CN200510041070.2"	"2006.02.22"	"集成电路或分立元件平面凸点组合式封装结构"
"江苏长电科技股份有限公司"	"03130393"	"CN200520073724.5"	"2006.10.25"	"集成电路或分立元件平面凸点组合式封装结构"
"江苏长电科技股份有限公司"	"03130393"	"CN200520073725.X"	"2006.10.25"	"集成电路或分立元件平面阵列凸点式封装结构"
"江苏长电科技股份有限公司"	"03130393"	"CN200520073726.4"	"2006.10.25"	"集成电路或分立元件平面排列凸点式封装结构"
"江苏长电科技股份有限公司"	"03130393"	"CN200520073727.9"	"2006.10.25"	"集成电路或分立元件平面围圈凸点式封装结构"
"江苏长电科技股份有限公司"	"03130393"	"CN200520074060.4"	"2006.11.08"	"集成电路或分立元件平面凸点式封装结构"
"江苏长电科技股份有限公司"	"03130393"	"CN200520074061.9"	"2006.09.20"	"新型集成电路或分立元件平面凸点式封装结构"
"江苏长电科技股份有限公司"	"03130393"	"CN200510041274.6"	"2006.02.22"	"集成电路或分立元件平面凸点式封装工艺及其封装结构"
"江苏长电科技股份有限公司"	"03130393"	"CN200510041275.0"	"2006.02.22"	"新型集成电路或分立元件平面凸点式封装工艺及其封装结构"
"比亚迪股份有限公司"	"T000001787"	"CN200520035234.6"	"2006.09.06"	"一种液晶显示屏测试驱动电路和测试驱动电路板"
"天津环球磁卡股份有限公司"	"02600800"	"CN200520027230.3"	"2006.10.25"	"便携式快速存储卡"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520086760.5"	"2006.09.20"	"加速器自动稳频装置"
"武汉海特生物制药股份有限公司"	"00216154"	"CN200510019392.7"	"2006.03.29"	"用有机溶剂病毒灭活法制备鼠神经生长因子的工艺"
"深圳迈瑞生物医疗电子股份有限公司"	"T000138376"	"CN200530071135.9"	"2006.08.16"	"用于医疗器械的挂钩"
"中兴通讯股份有限公司"	"01000063"	"CN200510117417.7"	"2007.05.09"	"一种电荷泵装置"
"中国石油化工股份有限公司"	"03130019"	"CN200510104513.8"	"2006.07.12"	"化工过程安全控制仿真培训装置"
"天水华天科技股份有限公司"	"03134173"	"CN200510022727.0"	"2007.06.20"	"长引线低弧度高密度金丝球焊生产方法"
"上海贝岭股份有限公司"	"02600171"	"CN200510111586.X"	"2007.06.20"	"一种微电流测试装置"
"比亚迪股份有限公司"	"T000001787"	"CN200520121034.2"	"2007.02.07"	"一种亮度可调的液晶显示模块"
"武汉海特生物制药股份有限公司"	"00216154"	"CN200510120550.8"	"2006.09.20"	"一种可透血脑屏障的脂质体和以该脂质体为载体的药物组合物及其制备方法"
"武汉海特生物制药股份有限公司"	"00216154"	"CN200610018279.1"	"2006.09.20"	"一种特异性转移因子主要有效成分含量的检测方法"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620081130.3"	"2007.02.28"	"空气定量注入装置"
"广东榕泰实业股份有限公司"	"03130010"	"CN200610011391.2"	"2007.09.05"	"用于集成电路封装用的环氧树脂模塑料及其制备方法"
"南宁八菱科技股份有限公司"	"T000044563"	"CN200620200257.2"	"2007.05.23"	"集成电路水冷装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610043602.0"	"2006.09.13"	"等离子体灭菌装置过氧化氢加注系统"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620083217.4"	"2007.06.06"	"矩形筒状低真空射频等离子体灭菌装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620083218.9"	"2007.04.04"	"等离子体灭菌装置过氧化氢加注系统"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620083219.3"	"2007.04.18"	"圆筒形低真空射频等离子体灭菌装置"
"江苏长电科技股份有限公司"	"03130393"	"CN200610039920.X"	"2006.10.25"	"集成电路或分立器件平面凸点式封装基板及其制作方法"
"康佳集团股份有限公司"	"01000016"	"CN200620013516.0"	"2007.12.26"	"液晶显示装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620083343.X"	"2007.05.23"	"快速喷射式蒸汽发生器"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620083342.5"	"2007.04.18"	"治疗床准确移动定位装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200630091553.9"	"2007.04.04"	"台式灭菌器"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200630091554.3"	"2007.03.14"	"脉动真空灭菌器(机动门)"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200630091555.8"	"2007.03.14"	"脉动真空灭菌器(升降门)"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200630091556.2"	"2007.02.14"	"脉动真空灭菌器(平移门)"
"浪潮电子信息产业股份有限公司"	"01000977"	"CN200620083523.8"	"2007.12.12"	"计算机风扇降噪装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620083728.6"	"2007.03.28"	"环锁密封门灭菌器"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620083732.2"	"2007.05.30"	"新型低压安全阀"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620083731.8"	"2007.08.08"	"BD抗力综合检测器"
"浪潮电子信息产业股份有限公司"	"01000977"	"CN200610043883.X"	"2006.09.27"	"计算机风扇降噪装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620083836.3"	"2007.05.23"	"PLC数字显示仪表"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200630091968.6"	"2007.03.21"	"真空度测试图板"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610044259.1"	"2006.12.20"	"清洗用低泡表面活性剂及其制备方法"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610044260.4"	"2006.10.18"	"后装治疗机源线驱动系统"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620084518.9"	"2007.08.08"	"真空度测试图板"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620084520.6"	"2007.07.11"	"后装治疗机源线驱动装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620084521.0"	"2007.05.23"	"后装治疗机源线驱动系统"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620084935.3"	"2007.06.06"	"内置式多叶光栅"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610044593.7"	"2006.10.25"	"内置式多叶光栅"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200630092246.2"	"2007.03.14"	"塑料胶垫"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200630092247.7"	"2007.03.14"	"灭菌箱"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200630092248.1"	"2007.03.21"	"灭菌盒"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085034.6"	"2007.06.06"	"放射源到位精度检测仪"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085037.X"	"2007.06.06"	"一体化后装治疗机"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610044519.5"	"2006.11.08"	"一体化后装治疗机"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610044518.0"	"2006.11.15"	"放射源到位精度检测仪"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085036.5"	"2007.05.23"	"一次性塑料锁"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085039.9"	"2007.05.23"	"灭菌容器内盖气体过滤阀"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085035.0"	"2007.07.25"	"医疗器械固定胶垫"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085419.2"	"2007.06.06"	"放射模拟机准直器井线运动机构"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085424.3"	"2007.05.30"	"空调净化消毒器"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610044696.3"	"2006.11.15"	"空调净化消毒器"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610044644.6"	"2006.11.15"	"放射模拟机准直器井线运动机构"
"浪潮电子信息产业股份有限公司"	"01000977"	"CN200620085552.8"	"2007.06.20"	"计算机开机风扇降噪装置"
"浪潮电子信息产业股份有限公司"	"01000977"	"CN200610044776.9"	"2006.11.22"	"计算机开机风扇降噪装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085915.8"	"2007.07.11"	"新型电子限光筒"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085916.2"	"2007.07.11"	"抽风式离子风枪"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085917.7"	"2007.07.11"	"钴-60治疗机半影消减器连接装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085920.9"	"2007.08.08"	"双腔室大输液水浴式灭菌器"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085921.3"	"2007.07.11"	"平衡体传动装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086059.8"	"2007.08.29"	"非PVC膜焊接机构"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610045113.9"	"2008.01.02"	"软袋灭菌干燥方法及其所用装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610045080.8"	"2006.11.29"	"废边自动剔除装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610045082.7"	"2006.11.29"	"紧凑型焊接封口装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610045083.1"	"2006.12.06"	"高压精确灌装阀"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610045081.2"	"2006.11.29"	"恒压灌装系统"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610045079.5"	"2006.11.29"	"压力平衡罐"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610045084.6"	"2006.11.29"	"非PVC膜焊接模具"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086109.2"	"2007.07.25"	"紧凑型非PVC膜全自动制袋灌封机"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086058.3"	"2007.08.22"	"接口焊接机构"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610045078.0"	"2007.01.17"	"平移翻转联动装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610045112.4"	"2007.01.24"	"紧凑型非PVC膜全自动制袋灌封机"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086063.4"	"2007.08.29"	"废边自动剔除装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086110.5"	"2007.08.08"	"阀式灌装机"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086113.9"	"2007.08.29"	"制袋模具快速对模装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086114.3"	"2007.08.15"	"软袋灭菌用承载车"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086115.8"	"2007.08.15"	"举推式玻璃瓶大输液自动推瓶机"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086116.2"	"2007.08.08"	"推瓶机用辅助错瓶排列装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086041.8"	"2007.10.10"	"高压精确灌装阀"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086042.2"	"2007.08.15"	"非PVC膜焊接模具"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086060.0"	"2007.08.08"	"平移翻转联动装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086062.X"	"2007.09.26"	"台式灭菌器嵌入式控制系统"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086040.3"	"2007.08.08"	"紧凑型焊接封口装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086064.9"	"2007.08.08"	"恒压灌装系统"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086061.5"	"2007.08.15"	"压力平衡罐"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086112.4"	"2007.08.15"	"灌装药液用压力平衡装置"
"中兴通讯股份有限公司"	"01000063"	"CN200610090452.9"	"2008.01.02"	"一种集成电路电荷泵的优化装置及其方法"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620087429.X"	"2007.08.15"	"双线直束医用电子直线加速器"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620087993.1"	"2007.08.29"	"铝箔贴覆焊接机用软袋支撑翻转装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620087995.0"	"2007.08.22"	"铝箔供给持续张紧装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620087996.5"	"2007.08.29"	"多烯烃共挤膜虚焊缝焊接装置"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620087997.X"	"2007.08.22"	"粉液双腔软袋外保护铝箔贴覆焊接机"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620087998.4"	"2007.08.22"	"粉液双腔软袋粉剂分装封口机"
