"机构ID"	"机构名称(中文)"	"成立日期"	"主营业务"	"经营范围"
"00047140"	"中国银河证券股份有限公司"	"2007-01-26 00:00:00"	"提供经纪、销售和交易、投资银行和投资管理等综合性证券服务。"	"　　证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；融资融券；证券投资基金代销；为期货公司提供中间介绍业务；代销金融产品；证券投资基金托管业务；保险兼业代理业务；销售贵金属制品。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）"
"00048264"	"浙江佐力药业股份有限公司"	"2000-01-28 00:00:00"	"药用真菌系列产品的研发、生产与销售。"	"　　药品的生产、销售（凭许可证经营）；食品的生产、销售（凭许可证经营）；保健食品原料（发酵虫草菌粉）的生产加工及销售；植物提取物的生产、销售；经营进出口业务；技术咨询服务，投资咨询，市场策划。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"00049397"	"安泰科技股份有限公司"	"1998-12-30 00:00:00"	"先进金属材料的研发、生产与销售，包括能源用先进材料及制品，特种材料制品及装备，超硬材料及工具三个领域"	"　　生产新材料；新材料及制品、新工艺的技术开发、技术服务、技术咨询、技术转让；销售新材料、制品及金属材料、机械设备、电子元器件及仪器仪表、医疗器械I类；计算机系统服务；设备租赁；出租办公用房、出租商业用房；工程和技术研究与实验发展；货物进出口、技术进出口、代理进出口。"
"00049648"	"华泰证券股份有限公司"	"1991-04-09 00:00:00"	"证券经纪、证券承销、证券自营、证券资产管理、证券投资咨询等业务。"	"　　证券经纪业务，证券自营，证券资产管理业务，证券承销业务，证券投资咨询，为期货公司提供中间介绍业务，融资融券业务，代销金融产品业务，证券投资基金代销，证券投资基金托管，黄金等贵金属现货合约代理和黄金现货合约自营业务，直接投资业务，创新投资业务，期货经纪业务，实业投资，货物进出口，转口贸易，农产品、各类金属与橡胶等商品的销售服务以及中国证监会批准的其他业务。"
"00051300"	"天津红日药业股份有限公司"	"1996-09-23 00:00:00"	"从事药品及医疗器械的生产经营和研究开发"	"　　小容量注射剂、片剂、硬胶囊剂、颗粒剂、原料药（低分子量肝素钙、盐酸法舒地尔、硫酸氢氯吡格雷、盐酸沙格雷酯、环酯红霉素、盐酸普拉克索、盐酸莫西沙星、伊班膦酸纳、阿立哌唑）生产、中药提取；生物工程药品、基因工程药品、植化药品的研究、开发、咨询、服务；普通货运；下列项目在天津新技术产业园区武清开发区源泉路17号开展生产活动：中药材前处理；大容量注射剂、冻干粉针剂、原料药（马来酸氟吡汀、盐酸替罗非班、罗库溴铵、对甲苯磺酰胺、胸腺法新、磺达肝癸钠、肝素钠、盐酸帕洛诺司琼、L－苹果酸、盐酸美金刚、右佐匹克隆、安立生坦、奥氮平、枸橼酸托法替布）、小容量注射剂（抗肿瘤药）、药用辅料（癸二酸，2-乙基-1,3-己二醇）、化工产品（危险品、易制毒品除外）批发兼零售、货物进出口、技术进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"00052598"	"山西兰花药业股份有限公司"	"1998-02-13 00:00:00"	"心脑血管疾病等慢性病缓控释制剂的研发、生产和销售"	"　　片剂（含青霉素类）、硬胶囊剂（含青霉素类、头孢菌素类）、颗粒剂（含青霉素类、头孢菌素类）的生产和销售；食品生产：食品、保健食品的生产、研发和销售；饮用水的生产及销售（依法须经批准的项目，经相关部门批准后方可开展经营活动）。"
"00054093"	"武汉天喻信息产业股份有限公司"	"1999-08-06 00:00:00"	"数据安全智能卡、智能终端、税控终端及面向纳税户企业的增值服务、物联网技术服务云平台及增值服务和以国家教育信息化为背景的K12智慧教育业务。"	"　　与数据安全相关的智能卡、终端设备及系统解决方案等的设计、制造、销售和服务，商用密码产品的开发、生产，以及相关商品和技术的进出口，产品应用于金融、通信、交通、税控、社保、医疗卫生及工商等领域，满足不同客户群体的市场需求。"
"00054114"	"华安证券股份有限公司"	"2001-01-08 00:00:00"	"证券经纪、证券投资咨询、与证券交易和证券投资活动有关的财务顾问、证券承销与保荐、证券自营、证券资产管理、融资融券、代销金融产品、证券投资基金代销、为期货公司提供中间介绍业务等业务。"	"　　证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；证券资产管理；融资融券；代销金融产品；证券投资基金代销；为期货公司提供中间介绍业务。"
"00056738"	"南京证券股份有限公司"	"1990-11-23 00:00:00"	"证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；融资融券；证券资产管理；证券投资基金代销；代销金融产品；为期货公司提供中间介绍业务"	"　　证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；融资融券；证券资产管理；证券投资基金代销；代销金融产品；为期货公司提供中间介绍业务；（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"00057174"	"西部证券股份有限公司"	"2001-01-09 00:00:00"	"证券经纪业务、证券自营业务、客户资产管理业务、投资银行业务、融资融券业务、研发业务、期货业务、固定收益业务、场外市场业务等"	"　　证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；证券资产管理；融资融券；证券投资基金代销；为期货公司提供中间介绍业务；代销金融产品；股票期权做市。(依法须经批准的项目，经相关部门批准后方可开展经营活动)"
"00057892"	"曙光信息产业股份有限公司"	"2006-03-07 00:00:00"	"研究、开发、生产制造高性能计算机、通用服务器及存储产品、软件开发、系统集成与技术服务"	"　　电子信息、软件技术开发、咨询、服务、转让、培训；计算机及外围设备、软件制造、批发兼零售；计算机系统集成；物业管理；货物及技术进出口；设备出租、场地出租；计算机及外围设备维修、租赁；建筑安装业；通信设备研发、生产、批发兼零售（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理）。"
"00058931"	"江苏久吾高科技股份有限公司"	"1997-12-22 00:00:00"	"以陶瓷膜为核心的膜分离技术的研发与应用，并以此为基础面向过程分离与特种水处理领域提供系统化的膜集成技术整体解决方案"	"　　膜、膜组件、膜分离设备、水处理设备、气体分离设备和过程工业产品及设备的开发、制造、销售，设备安装及技术服务，电子计算机及配件、软件的开发、销售，自营和代理各类商品及技术的进出口业务，市政公用工程、工业污水处理工程、饮用水和纯水处理工程、固体废弃物处理工程、大气环境治理工程的技术开发、设计、总承包、技术服务、投资，环保及水务设施的运营管理，水资源管理。"
"00059677"	"南通醋酸化工股份有限公司"	"1959-06-01 00:00:00"	"醋酸衍生物、吡啶衍生物为主体的高端专用精细化学品的研发、生产和销售。"	"　　危险化学品（按安监局设立批准书核定的范围和期限经营）、饲料添加剂的生产；生产、销售基本有机化工原料、医药中间体、染料及染料中间体、食品添加剂，经营本企业生产、科研所需的原辅材料、机械设备、仪器仪表、零配件，经营本企业自产产品及技术的出口业务；代理出口将本企业自行研制开发的技术转让给其他企业所生产的产品；经营本企业生产、科研所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务；经营进料加工和“三来一补”业务；国内劳务派遣；饲料添加剂的销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"00064581"	"长城证券股份有限公司"	"1996-05-02 00:00:00"	"证券经纪;证券投资咨询;与证券交易、证券投资活动有关的财务顾问;证券承销与保荐;证券自营;证券资产管理;融资融券;证券投资基金代销;为期货公司提供中间介绍业务;代销金融产品。"	"　　证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；证券资产管理；融资融券；证券投资基金代销；为期货公司提供中间介绍业务；代销金融产品。"
"00064637"	"光大证券股份有限公司"	"1996-04-23 00:00:00"	"证券经纪业务、证券投资咨询业务、融资融券业务、与证券交易、证券投资活动有关的财务顾问业务、证券承销与保荐业务、证券自营业务、证券资产管理业务、直接投资业务、创新投资业务、期货经纪业务和基金管理业务等。"	"　　证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；为期货公司提供中间介绍业务；证券投资基金代销；融资融券业务；代销金融产品；股票期权做市业务；中国证监会批准的其他业务。"
"00064654"	"国联证券股份有限公司"	"1999-01-08 00:00:00"	"证券经纪业务、证券自营业务(证券投资业务)、资产管理业务、信用交易业务、新三板业务等。同时,公司通过控股子公司华英证券和国联通宝分别从事投资银行业务(不含新三板业务)和直接投资业务。"	"　　证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券自营；证券资产管理；证券投资基金代销；融资融券业务；为期货公司提供中间介绍业务；代销金融产品业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"00065035"	"深圳大佛药业股份有限公司"	"1994-03-21 00:00:00"	"耳鼻喉和呼吸系统领域喷雾剂、鼻喷剂、吸入溶液剂等产品的研发、生产和销售。"	"　　从事新药的研究、开发。生产经营“大佛”系列化学药（喷雾剂，鼻喷剂，溶液剂（含外用），洗剂）。"
"00065919"	"浙商证券股份有限公司"	"2002-05-09 00:00:00"	"经纪业务、投资银行业务、资产管理业务、期货业务和融资融券等证券信用交易业务等。"	"　　证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；融资融券；证券投资基金代销；代销金融产品。
　　"
"00065987"	"东吴证券股份有限公司"	"1992-09-04 00:00:00"	"证券经纪、信用交易、投资银行、自营投资、受托资产管理"	"　　证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；证券资产管理；证券投资基金代销；为期货公司提供中间介绍业务；融资融券业务；代销金融产品业务。"
"00066472"	"中粮屯河糖业股份有限公司"	"1993-09-18 00:00:00"	"白砂糖及相关产品的制造销售、番茄加工及番茄制品的销售，还有一家水泥参股公司。"	"　　番茄加工、番茄制品的制造销售及其他农副产品（除粮、棉）的加工、销售；饮料的生产、销售；食用油、水果、蔬菜的加工、销售；白砂糖、酒精、颗粒粕的制造销售；蒸汽的生产、销售；糖蜜、菜丝的销售（限所属分支机构经营）；农药的销售（许可证为准）；汽车货运；蜜饯、炒货食品及坚果制品（烘炒类）、水果制品（水果干制品）的加工、销售（限所属分支机构经营）；水泥及其制品、活性石灰、本企业产品及一般货物与技术的进出口经营；经济信息服务；废渣、废旧物资的销售；房屋、土地、设备的租赁；化肥、农膜销售；农产品的开发、种植、销售；钢桶、吨箱、托盘、无菌袋、不再分装的包装种子的销售；农机作业服务、农机租赁；机械设备零部件、钢材、马口铁罐、番茄酱生产设备、糖的生产设备、酒精生产设备、颗粒粕生产设备、农机和环保设备的销售、货物运输代理服务、装卸搬运服务、企业管理咨询服务、贸易经济与代理、技术推广服务、会议及展览服务、包装服务；食品添加剂氧化钙、二氧化碳生产；保健食品制造的批发及销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"00066871"	"浙江仙琚制药股份有限公司"	"2000-06-26 00:00:00"	"甾体原料药和制剂的研制、生产与销售"	"　　药品生产，医药中间体制造，化工产品。五金交电、包装材料销售，技术服务，设备安装，进出口业务。"
"00066967"	"南方双林生物制药股份有限公司"	"1993-12-01 00:00:00"	"生产和销售血液制品"	"　　许可经营项目：生物化工；制药工业设备；医用卫生材料；医药项目、生物技术开发项目的投资、咨询及技术推广；房地产开发；电子产品信息咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"00066983"	"山东金泰集团股份有限公司"	"1992-06-03 00:00:00"	"医药原料药的研发、生产及销售"	"　　许可证批准范围内的医疗器械销售；在法律、法规规定范围内对外投资及管理，药品的研发与技术转让、技术咨询（不含药品生产）；房地产中介服务（须凭资质证书经营）；铂金制品、钯金制品、黄金制品、银制品及珠宝首饰加工、销售（国家规定限制经营的项目除外）；货物及技术的进出口业务（国家禁止或限制的商品除外）。"
"00067130"	"第一创业证券股份有限公司"	"1998-01-12 00:00:00"	"证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券（不含股票、中小企业私募债券以外的公司债券）承销；证券自营；证券资产管理；融资融券；证券投资基金代销；为期货公司提供中间介绍业务；代销金融产品。"	"　　证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券（不含股票、中小企业私募债券以外的公司债券）承销；证券自营；证券资产管理；证券投资基金代销；为期货公司提供中间介绍业务；融资融券；代销金融产品。"
"00067474"	"中国外运股份有限公司"	"2002-11-20 00:00:00"	"货运代理、专业物流、仓储与码头服务、物流设备租赁和其他服务"	"　　无船承运业务（有效期至2019年3月9日）；普通货运；国际快递（邮政企业专营业务除外）（有效期至2020年6月20日）；国内水路运输船舶代理及客货物运输代理业务；承办海运、陆运、空运进出口货物、国际展品、私人物品和过境货物的国际运输代理业务，包括：订舱、仓储、中转、集装箱拼装拆箱、结算运杂费、报关、报验、相关的短途运输服务及运输咨询业务；办理国际多式联运业务；船舶租赁；信息技术服务和鉴证咨询服务；包装服务；货物进出口；代理进出口、组织文化艺术交流活动；承办展览展示活动。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）"
"00067916"	"厦门特宝生物工程股份有限公司"	"1996-08-07 00:00:00"	"重组蛋白质及其长效修饰药物研发、生产及销售"	"　　生物药品制造；其他未列明专业技术服务业（不含需经许可审批的事项）；其他未列明制造业（不含须经许可审批的项目）；生物技术推广服务；经营本企业自产产品的出口业务和本企业所需的机械设备、零配件、原辅材料的进口业务（不另附进出口商品目录），但国家限定公司经营或禁止进出口的商品及技术除外；经营各类商品和技术的进出口（不另附进出口商品目录），但国家限定公司经营或禁止进出口的商品及技术除外；其他未列明批发业（不含需经许可审批的经营项目）。"
"00068317"	"中银国际证券股份有限公司"	"2002-02-28 00:00:00"	"投资银行业务、证券经纪业务、资产管理业务、证券自营业务、私募股权投资业务、期货业务和其他业务"	"　　证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；证券资产管理；证券投资基金代销；融资融券；代销金融产品；公开募集证券投资基金管理业务；为期货公司提供中间介绍业务【依法须经批准的项目，经相关部门批准后方可开展经营活动】"
"00071665"	"上海莱士血液制品股份有限公司"	"1988-10-29 00:00:00"	"生产和销售血液制品"	"　　许可经营项目：生产和销售血液制品、疫苗、诊断试剂及检测器具和检测技术并提供检测服务（依法须经批准的项目，经相关部门批准后方可开展经营活动）。"
"00071668"	"四川川大智胜软件股份有限公司"	"1994-06-04 00:00:00"	"航空与空管业务、虚拟现实(VR)和增强现实(AR)及“人工智能”业务"	"　　软件、硬件及配套系统开发，系统集成和图象图形工程，从事安防产品生产、销售及安防工程设计、施工；建筑智能化工程设计、施工；房屋租赁、设备租赁；民航空管工程及机场弱电系统工程施工；电子工程、电子工程施工；电子及通信产品生产、销售；技术咨询、技能培训；经营本企业和本企业成员企业自产产品及相关技术的出口业务（国家限定和禁止经营商品除外），经营本企业和本企业成员企业生产、科研所需的原辅材料、机械设备、仪器仪表、零配件及相关技术的进口业务（国家限定或禁止经营商品除外）；经营本企业的进料加工和“三来一补”业务"
"00072765"	"格尔软件股份有限公司"	"1998-03-03 00:00:00"	"以公钥基础设施PKI（PublicKeyInfrastructure）为核心的商用密码软件产品的研发、生产和销售及服务业务"	"　　软件开发，软件生产，信息网络安全产品的研制、开发、销售，系统集成，专业四技服务（上述项目除专项规定），自有房屋租赁。【依法须经批准的项目，经相关部门批准后方可开展经营活动】"
"00073197"	"烟台泰和新材料股份有限公司"	"1993-05-20 00:00:00"	"氨纶、芳纶等高性能纤维的研发生产及销售"	"　　氨纶、芳纶系列产品的制造、销售、技术转让、技术咨询和服务；纺织品、日用百货、金属材料、建筑材料、化工产品（不含化学危险品）的批发、零售；备案范围进出口业务。"
"00073199"	"苏州海陆重工股份有限公司"	"2000-01-18 00:00:00"	"从事余热锅炉、大型及特种材质压力容器和核电产品的制造销售，以及固废、废水等污染物处理及回收利用的环境综合治理服务。"	"　　锅炉（特种锅炉、工业锅炉）、核承压设备、锅炉辅机、压力容器、金属包装容器、机械、冶金设备、金属结构件制造、销售、安装和运输；金属材料购销；金属包装容器、压力容器设计（按特种设备设计许可证核准经营范围经营）；经营本企业自产产品及技术的出口业务；经营本企业生产、科研所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务（国家限定公司经营和国家禁止进出口的商品及技术除外）；经营进料加工和“三来一补”业务；实业投资及技术咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"00073201"	"深圳市兆新能源股份有限公司"	"1995-12-20 00:00:00"	"精细化工、室内环境治理、生物降解材料、新能源太阳能发电、新能源汽车运营、新能源汽车充电投资"	"　　新能源充电设施的投资；新能源光伏发电设施的投资；停车场的投资；新能源汽车的投资；电力储能设备的投资与技术开发；电力储能系统软件的技术开发；防腐、防水、粘胶高分子材料及涂料，汽车尾气净化产品、清洁养护产品、美容美化产品、油品添加剂（不含危险化学品）、制动液产品，气雾剂及日用化学品，精密包装制品（含注塑），生物降解新材料及其制品的技术开发；技术服务、技术转让及销售；商业经营管理。（以上法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；新能源充电设施、新能源光伏发电设施的建设与运营；停车场的建设与运营；新能源汽车的租赁、运营（不含金融租赁）；电力储能设备的生产与销售；防腐、防水、粘胶高分子材料及涂料，汽车尾气净化产品、清洁养护产品、美容美化产品、油品添加剂（不含危险化学品）、制动液产品，气雾剂及日用化学品，精密包装制品（含注塑），生物降解新材料及其制品的生产；非经营性危险货物运输。"
"00073279"	"利尔化学股份有限公司"	"1993-02-24 00:00:00"	"主要从事农药原药及制剂的生产"	"　　农药原药、制剂、化工材料及化工产品的研发、生产、销售；经营本企业自产产品的出口业务；经营本企业所需机械设备、仪器仪表、零配件及相关技术的进口业务；经营本企业的加工贸易业务；技术转让、技术检测及咨询；投资管理及咨询。"
"00073300"	"四川升达林业产业股份有限公司"	"1995-03-09 00:00:00"	"家居产业和清洁能源产业"	"　　林木种植；木竹材经营加工；生产、加工、批发、销售胶合板、刨花板、定向刨花板、中密度纤维板、装饰单板贴面人造板、浸渍胶膜纸饰面人造板、细木工板、实木复合地板、浸渍纸层压木质地板、竹地板、实木地板；进出口业（以上项目不含前置许可项目，后置许可项目凭许可证或审批文件经营）。"
"00073301"	"德奥通用航空股份有限公司"	"1993-06-28 00:00:00"	"提供电饭煲、电烤炉、电煎板、电压力锅、多用锅、电烤箱等厨房小家电产品以及电磁灶、电磁蒸柜等零排放智能商用厨房设备的研发、制造及营销服务"	"　　民用航空器及发动机（含零部件）、机载设备与系统、配套系统与产品的研发、设计、生产、销售及售后服务；通用航空服务；生产经营电饭煲、电开水器等家用小电器、商用厨房电器及设备、模具及金属模压制品；货物进出口、技术进出口；股权投资、资产管理、商业咨询服务；物业的投资与经营管理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。"
"00073439"	"江苏恩华药业股份有限公司"	"1999-03-29 00:00:00"	"医药生产、研发和销售"	"　　冻干粉针剂、小容量注射剂、片剂、硬胶囊剂、精神药品、原料药、麻醉药品制造、销售;普货运输;药品研发、技术咨询、技术转让;自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外);医药中间体的销售;日用化学品(化学危险品除外)、日用百货销售;房屋、机器设备及设施的租赁;停车管理服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)许可项目：第三类医疗器械生产,第三类医疗器械经营;第二类医疗器械生产(依法须经批准的项目,经相关部门批准后方可开展经营活动,具体经营项目以审批结果为准)一般项目：第二类医疗器械销售(除依法须经批准的项目外,凭营业执照依法自主开展经营活动)。"
"00073440"	"拓维信息系统股份有限公司"	"1996-05-20 00:00:00"	"以教育服务为主航道，以软件云服务和移动游戏业务为两翼协同发展"	"　　按许可证核定业务种类和范围从事第二类增值电信业务中的信息服务业务（仅限互联网信息服务）；书报刊、电子出版物批发（网络发行），经营互联网游戏出版物、手机出版物；利用信息网络经营音乐娱乐产品、游戏产品、动漫产品，从事网络文化产品的展览、比赛活动；票务代理服务；计算机软、硬件及其配套产品、办公设备、电子电气产品的研制、开发、销售；政策允许的咨询业务；研制、开发、销售及相关技术服务；从事电视监控与防盗报警工程业务；经营本企业自产产品及技术的出口业务和本企业所需的机械设备、零配件、原辅材料及技术的进口业务；策划、设计、制作、代理、发布国内外广告；流量运营及数据运营服务；计算机信息系统集成及技术咨询；教育信息咨询及教育投资咨询；教育软件的研究、开发；智能化工程、系统工程、消防设施工程施工；机电工程设计、承包、安装与服务；建筑智能化设计、咨询、服务；计算机软硬件产品、通信设备、控制设备、电子产品及其辅助设备的开发设计、服务和自产产品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
