"name"	"apply_numb"	"accredit_date"	"patent_name"
"西安华海医疗信息技术股份有限公司"	"CN201010013620.0"		"用于医疗管理的计算机屏幕信息提取方法"
"西安华海医疗信息技术股份有限公司"	"CN201010013620.0"	"20150107"	"用于医疗管理的计算机屏幕信息提取方法"
"陕西瑞盛生物科技有限公司"	"CN201010280306.9"		"具有预塑性天然骨修复材料的制备方法"
"鸿富锦精密工业(深圳)有限公司"	"CN200910307849.2"		"组合镜片及其使用的镜头模组"
"鸿富锦精密工业(深圳)有限公司"	"CN200910307849.2"	"20140326"	"组合镜片及其使用的镜头模组"
"沈阳航天新乐有限责任公司"	"CN201110239717.8"		"加工万向接头的工艺方法及其工装"
"沈阳航天新乐有限责任公司"	"CN201110239717.8"	"20130410"	"加工万向接头的工艺方法及其工装"
"中国乐凯集团有限公司"	"CN201110361393.5"	"20140604"	"防指纹污染化合物"
"中国乐凯集团有限公司"	"CN201110361396.9"	"20141001"	"一种有机改性硅溶胶"
"沈阳沈大内窥镜有限公司"	"CN201010603900.7"		"两点导航立体定向法及其设备"
"陕西瑞盛生物科技有限公司"	"CN201210018770.X"		"一种角膜板层材料的制备方法"
"陕西瑞盛生物科技有限公司"	"CN201210018770.X"	"20140409"	"一种角膜板层材料的制备方法"
"鸿富锦精密工业(深圳)有限公司"	"CN201010614474.7"		"光纤耦合连接器"
"鸿富锦精密工业(深圳)有限公司"	"CN201010614474.7"	"20151118"	"光纤耦合连接器"
"沈阳沈大内窥镜有限公司"	"CN201110020088.X"		"扫描式脑血肿清除水刷"
"沈阳沈大内窥镜有限公司"	"CN201110020089.4"		"双管切割内镜吸引清除器"
"沈阳沈大内窥镜有限公司"	"CN201110020096.4"		"激光水止血探头"
"西安一体医疗科技有限公司"	"CN201210152650.9"		"一种伽玛辐射摆位验证装置及方法"
"西安一体医疗科技有限公司"	"CN201210152650.9"	"20131120"	"一种伽玛辐射摆位验证装置及方法"
"西安一体医疗科技有限公司"	"CN201210153052.3"		"一种伽玛辐射定位方法及系统"
"西安一体医疗科技有限公司"	"CN201210153052.3"	"20141210"	"一种伽玛辐射定位系统"
"鸿富锦精密工业(深圳)有限公司"	"CN201110069945.5"		"托架及具有该托架的计算机设备"
"沈阳航天新乐有限责任公司"	"CN201210306821.9"		"高精度薄型零件的加工方法及其辅助工装"
"沈阳航天新乐有限责任公司"	"CN201210306821.9"	"20141029"	"高精度薄型零件的辅助工装"
"陕西瑞盛生物科技有限公司"	"CN201210310206.5"		"一种组织工程角膜的制备方法及其装置"
"陕西瑞盛生物科技有限公司"	"CN201210310206.5"	"20140618"	"一种组织工程角膜的制备方法及其装置"
"陕西瑞盛生物科技有限公司"	"CN201210334421.9"		"一种生物栓的卷制装置及制作方法"
"陕西瑞盛生物科技有限公司"	"CN201210334421.9"	"20150527"	"一种生物栓的卷制装置及制作方法"
"中国乐凯集团有限公司"	"CN201210399713.0"	"20141001"	"一种3',6'-二甲氧基荧烷黄热敏染料的制备方法"
"鸿富锦精密工业(深圳)有限公司"	"CN201110208709.7"		"硬盘数据存取方法及系统"
"西安一体医疗科技有限公司"	"CN201310206248.9"		"一种放射性射线聚焦调节装置"
"中国乐凯集团有限公司"	"CN201310233150.2"		"1,11-二(1-双哌啶)-3,9-二氧代-6-噻-十一烷的制备方法"
"中国乐凯集团有限公司"	"CN201310233150.2"	"20150325"	"1,11-二（1-双哌啶）-3,9-二氧代-6-噻-十一烷的制备方法"
"沈阳航天新乐有限责任公司"	"CN201310171019.8"		"高精度轴尖抛光方法"
"沈阳航天新乐有限责任公司"	"CN201310171019.8"	"20160518"	"高精度轴尖抛光方法"
"鸿富锦精密工业(深圳)有限公司"	"CN201210082528.9"		"内存管理系统及方法"
"陕西瑞盛生物科技有限公司"	"CN201310400552.7"		"一种肌腱加强修复材料及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN201310400552.7"	"20150527"	"一种肌腱加强修复材料及其制备方法"
"沈阳沈大内窥镜有限公司"	"CN201210218771.9"		"经皮肾微造瘘碎石排除装置"
"陕西瑞盛生物科技有限公司"	"CN201310508091.5"		"一种生物羊膜及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN201310508091.5"	"20150325"	"一种生物羊膜及其制备方法"
"沈阳航天新乐有限责任公司"	"CN201310522822.1"		"孔斜度测量机构及斜孔测量方法"
"沈阳航天新乐有限责任公司"	"CN201310523103.1"		"一种测量舵面展开后对称度测量夹具及其检测方法"
"沈阳航天新乐有限责任公司"	"CN201310523103.1"	"20170125"	"一种测量舵面展开后对称度测量夹具及其检测方法"
"中国乐凯集团有限公司"	"CN201310680077.3"		"一种有机溶剂型硅溶胶的制备方法"
"中国乐凯集团有限公司"	"CN201310680077.3"	"20150819"	"一种有机溶剂型硅溶胶的制备方法"
"沈阳航天新乐有限责任公司"	"CN201310696684.9"		"一种研磨工装及其研磨高精度短轴的方法"
"陕西瑞盛生物科技有限公司"	"CN201310669263.7"		"一种可引导组织再生的生物膜及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN201310669263.7"	"20150610"	"一种可引导组织再生的生物膜及其制备方法"
"西安爱德万思医疗科技有限公司"	"CN201310756776.1"		"一种人体可吸收的耐蚀高强韧锌合金植入材料"
"西安爱德万思医疗科技有限公司"	"CN201310756776.1"	"20161207"	"一种人体可吸收的耐蚀高强韧锌合金植入材料"
"沈阳航天新乐有限责任公司"	"CN201210405610.0"		"一种红外测试光源校准系统"
"西安爱德万思医疗科技有限公司"	"CN201410051207.1"		"一种医用生物可降解锌合金毛细管材的制备方法"
"西安爱德万思医疗科技有限公司"	"CN201410051207.1"	"20160316"	"一种医用生物可降解锌合金毛细管材的制备方法"
"沈阳航天新乐有限责任公司"	"CN201410078099.7"		"空心轴组件组合加工方法"
"沈阳航天新乐有限责任公司"	"CN201410078099.7"	"20170201"	"空心轴组件组合加工方法"
"陕西瑞盛生物科技有限公司"	"CN201410179821.6"		"一种治疗瘘的植入物装置"
"陕西瑞盛生物科技有限公司"	"CN201310071109.X"		"一种可注射植入剂及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN201310071109.X"	"20170908"	"一种可注射植入剂及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN201410427779.5"		"一种可注射填充植入剂及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN201410427779.5"	"20160316"	"一种可注射填充植入剂及其制备方法"
"鸿富锦精密工业(深圳)有限公司"	"CN201310225353.7"		"光纤耦合连接器"
"陕西莱特光电材料股份有限公司"	"CN201410547968.6"		"8-羟基喹啉锂的合成及纯化方法"
"陕西莱特光电材料股份有限公司"	"CN201410547968.6"	"20160420"	"8-羟基喹啉锂的合成及纯化方法"
"陕西瑞盛生物科技有限公司"	"CN201410513579.1"		"一种治疗瘘的植入物装置"
"陕西莱特光电材料股份有限公司"	"CN201410547962.9"		"一种4-溴-9-乙基咔唑的合成及其纯化方法"
"陕西莱特光电材料股份有限公司"	"CN201410547962.9"	"20160706"	"一种4-溴-9-乙基咔唑的合成及其纯化方法"
"沈阳航天新乐有限责任公司"	"CN201410749818.3"		"高精度小直径尖端研磨装置及其研磨方法"
"沈阳航天新乐有限责任公司"	"CN201410749818.3"	"20161123"	"高精度小直径尖端研磨装置及其研磨方法"
"陕西瑞盛生物科技有限公司"	"CN201410842786.1"		"一种软骨细胞培养基及软骨细胞培养方法"
"陕西瑞盛生物科技有限公司"	"CN201410842786.1"	"20180330"	"一种软骨细胞培养基及软骨细胞培养方法"
"沈阳航天新乐有限责任公司"	"CN201410598399.8"		"一种油田油管杆的输送装置及其输送方法"
"沈阳航天新乐有限责任公司"	"CN201410598399.8"	"20170118"	"一种油田油管杆的输送装置及其输送方法"
"西安爱德万思医疗科技有限公司"	"CN201410101607.9"		"一种人体可吸收的耐蚀高强韧锌镁合金植入材料"
"沈阳航天新乐有限责任公司"	"CN201410785806.6"		"加工高精度角度及对称度板式零件的加工方法"
"沈阳航天新乐有限责任公司"	"CN201410785806.6"	"20170329"	"加工高精度角度及对称度板式零件的加工方法"
"陕西莱特光电材料股份有限公司"	"CN201510074439.3"		"咔唑基三芳胺空穴传输材料及其合成方法"
"陕西瑞盛生物科技有限公司"	"CN201310543110.8"		"一种无血清软骨细胞培养液"
"陕西瑞盛生物科技有限公司"	"CN201310543110.8"	"20171114"	"一种无血清软骨细胞培养液"
"西安爱德万思医疗科技有限公司"	"CN201510111212.1"	"20170405"	"一种人体可降解的耐蚀高强韧Zn‐Fe‐RE系锌合金及其应用"
"西安爱德万思医疗科技有限公司"	"CN201510111250.7"	"20171103"	"一种人体可降解的耐蚀高强韧Zn‐Fe‐Li 系锌合金及其应用"
"陕西莱特光电材料股份有限公司"	"CN201510074538.1"		"一种有效去除LED芯片光刻胶的剥离液及其剥离方法"
"中国乐凯集团有限公司"	"CN201510092454.0"		"一种高折射率水性聚酯及其制备"
"中国乐凯集团有限公司"	"CN201510092454.0"	"20160928"	"一种高折射率水性聚酯及其制备"
"西安爱德万思医疗科技有限公司"	"CN201510112259.X"	"20170630"	"一种人体可降解的耐蚀高强韧Zn‐Fe 系锌合金及其应用"
"西安爱德万思医疗科技有限公司"	"CN201510111213.6"	"20170405"	"一种人体可降解的耐蚀高强韧Zn‐Fe‐X系锌合金及其应用"
"陕西瑞盛生物科技有限公司"	"CN201510214692.4"		"一种软骨细胞膜片的构建方法"
"陕西瑞盛生物科技有限公司"	"CN201510214692.4"	"20170707"	"一种软骨细胞膜片的构建方法"
"陕西瑞盛生物科技有限公司"	"CN201510213394.3"		"一种软骨细胞组织工程材料及其制备方法和用途"
"陕西瑞盛生物科技有限公司"	"CN201510212913.4"		"一种刺激软骨细胞外基质分泌的培养基"
"陕西瑞盛生物科技有限公司"	"CN201510634397.4"		"一种生物材料的脱细胞装置及脱细胞方法"
"陕西瑞盛生物科技有限公司"	"CN201510634397.4"	"20180518"	"一种生物材料的脱细胞方法"
"沈阳航天新乐有限责任公司"	"CN201510532174.7"		"一种红外位标器的φ角斜率测试设备及方法"
"沈阳航天新乐有限责任公司"	"CN201510532174.7"	"20171103"	"一种红外位标器的φ角斜率测试设备及方法"
"沈阳沈大内窥镜有限公司"	"CN201510241749.X"		"十二指肠镜"
"沈阳沈大内窥镜有限公司"	"CN201510461920.8"		"用一次性耗材防护的十二指肠镜"
"沈阳沈大内窥镜有限公司"	"CN201510461920.8"	"20170627"	"用一次性耗材防护的十二指肠镜"
"沈阳沈大内窥镜有限公司"	"CN201410554170.4"		"一种微创宫腔镜"
"西安爱德万思医疗科技有限公司"	"CN201610033135.7"		"一种锌合金器件电化学抛光液及其抛光方法"
"西安爱德万思医疗科技有限公司"	"CN201610033135.7"	"20180410"	"一种锌合金器件电化学抛光液及其抛光方法"
"沈阳沈大内窥镜有限公司"	"CN201410560338.2"		"一种专用避孕腹腔镜"
"沈阳沈大内窥镜有限公司"	"CN201410560246.4"		"一种肾脏清石操作鞘"
"沈阳沈大内窥镜有限公司"	"CN201410560116.0"		"一种可视脑吸引管"
"西安爱德万思医疗科技有限公司"	"CN201610077142.7"		"一种由人体可吸收锌及其锌合金材料构成的管网式血管支架"
"陕西瑞盛生物科技有限公司"	"CN201610284707.9"		"一种生物补片的复水方法以及复水后的生物补片"
"陕西瑞盛生物科技有限公司"	"CN201610285915.0"		"一种乳房补片及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN201610285838.9"		"一种生物补片及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN201610279677.2"		"一种生物膜及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN201610284706.4"		"一种生物补片的交联方法以及交联生物补片"
"西安爱德万思医疗科技有限公司"	"CN201610870994.1"		"一种锌合金及其的热处理方法、植入材料"
"沈阳航天新乐有限责任公司"	"CN201610972226.7"		"一种修井作业油管杆自动输送装置及其输送方法"
"沈阳航天新乐有限责任公司"	"CN201610972226.7"	"20180831"	"一种修井作业油管杆自动输送装置及其输送方法"
"陕西瑞盛生物科技有限公司"	"CN201510490488.5"		"一种防止卷制粘连的瘘栓卷制装置及卷制方法"
"陕西瑞盛生物科技有限公司"	"CN201510490488.5"	"20190412"	"一种防止卷制粘连的瘘栓卷制装置及卷制方法"
"陕西瑞盛生物科技有限公司"	"CN201510493373.1"		"一种生物材料的卷制装置及卷制方法"
"陕西瑞盛生物科技有限公司"	"CN201510493373.1"	"20190416"	"一种生物材料的卷制装置及卷制方法"
"沈阳航天新乐有限责任公司"	"CN201611202328.7"		"微型高可靠性导电环专用装置及其信号传输方法"
"沈阳沈大内窥镜有限公司"	"CN201510432660.1"		"一种内窥镜套膜"
"沈阳航天新乐有限责任公司"	"CN201611199942.2"		"一种具有开盖机构的大型箱体"
"陕西莱特光电材料股份有限公司"	"CN201611236657.3"		"一种新型双极性发光主体材料及其合成方法与应用"
"陕西莱特光电材料股份有限公司"	"CN201611236657.3"	"20191220"	"一种双极性发光主体材料及其合成方法与应用"
"西安爱德万思医疗科技有限公司"	"CN201710081844.7"		"一种医用生物可降解锌合金毛细丝材的制备方法"
"西安爱德万思医疗科技有限公司"	"CN201710081844.7"	"20180824"	"一种医用生物可降解锌合金毛细丝材的制备方法"
"西安一体医疗科技有限公司"	"CN201710132587.5"		"一种并行量子退火靶点分布计算方法"
"西安一体医疗科技有限公司"	"CN201710132587.5"	"20191203"	"一种并行量子退火靶点分布计算方法"
"西安一体医疗科技有限公司"	"CN201710213836.3"		"一种伽玛射线剂量的卷积计算方法"
"西安一体医疗科技有限公司"	"CN201710213836.3"	"20180223"	"一种伽玛射线剂量的卷积计算方法"
"陕西瑞盛生物科技有限公司"	"CN201710402171.0"		"一种脱细胞网箱及脱细胞装置"
"西安爱德万思医疗科技有限公司"	"CN201610024559.7"		"一种接骨螺钉"
"陕西瑞盛生物科技有限公司"	"CN201710401386.0"		"一种自动补液式脱细胞系统及方法"
"陕西瑞盛生物科技有限公司"	"CN201710401386.0"	"20200103"	"一种自动补液式脱细胞系统及方法"
"沈阳沈大内窥镜有限公司"	"CN201710436332.8"		"一种经皮肾镜清除结石系统及方法"
"陕西瑞盛生物科技有限公司"	"CN201710397304.X"		"一种自动补液式脱细胞系统"
"陕西瑞盛生物科技有限公司"	"CN201710399096.7"		"一种生物材料的脱细胞装置及脱细胞方法"
"陕西瑞盛生物科技有限公司"	"CN201710401373.3"		"一种自动化脱细胞系统及脱细胞方法"
"陕西瑞盛生物科技有限公司"	"CN201710556919.2"		"一种可降解的聚氨酯泡沫及其应用"
"陕西瑞盛生物科技有限公司"	"CN201710224614.1"		"一种乳房修复片及其制备方法"
"陕西瑞盛生物科技有限公司"	"CN201710225535.2"		"一种生物膜的制备方法以及生物膜"
"陕西莱特光电材料股份有限公司"	"CN201710812327.2"		"一种环己烷噁烷类液晶单体化合物及其制备方法"
"陕西莱特光电材料股份有限公司"	"CN201710812280.X"		"一种双亲水基双亲油基表面活性剂及其制备方法"
"陕西莱特光电材料股份有限公司"	"CN201710812280.X"	"20190611"	"一种双亲水基双亲油基表面活性剂及其制备方法"
"陕西莱特光电材料股份有限公司"	"CN201710812329.1"		"一种萘甲酸酯类衍生物及其制备方法"
"陕西莱特光电材料股份有限公司"	"CN201710812336.1"		"一种三嗪类衍生物及其制备方法"
"陕西莱特光电材料股份有限公司"	"CN201710811427.3"		"一种吖啶衍生物及其制备方法"
"沈阳航天新乐有限责任公司"	"CN201711285883.5"		"一种成像导引头光学系统"
"沈阳航天新乐有限责任公司"	"CN201711231966.6"		"一种用于大型设备的被动式遮蔽系统"
"沈阳航天新乐有限责任公司"	"CN201711284163.7"		"一种多点锁紧机构"
"沈阳航天新乐有限责任公司"	"CN201711284163.7"	"20190813"	"一种多点锁紧机构"
"陕西莱特光电材料股份有限公司"	"CN201810395066.3"		"一种主体发光材料及其合成方法与应用"
"沈阳沈大内窥镜有限公司"	"CN201810517186.6"		"手术器械及手术机器人"
"沈阳沈大内窥镜有限公司"	"CN201810497795.X"		"穿刺帽及腹腔镜穿刺套管"
"陕西莱特光电材料股份有限公司"	"CN201810395051.7"		"一种新型主体发光材料及其合成方法与应用"
"沈阳航天新乐有限责任公司"	"CN201811078408.5"		"一种吊具"
"沈阳沈大内窥镜有限公司"	"CN201811049995.5"		"微创手术用剪刀及医疗设备"
"陕西莱特光电材料股份有限公司"	"CN201811062363.2"		"一种有机电致发光材料及其制备方法与应用"
"陕西莱特光电材料股份有限公司"	"CN201811063081.4"		"一种新型有机电致发光层材料及其制备方法与应用"
"陕西莱特光电材料股份有限公司"	"CN201811061658.8"		"一种有机光电材料及其制备方法与应用"
"沈阳航天新乐有限责任公司"	"CN201811441713.6"		"一种线列成像位标器焦面调试设备及调试方法"
"沈阳航天新乐有限责任公司"	"CN201910393068.3"		"一种作动器的力学试验台"
"陕西莱特光电材料股份有限公司"	"CN201910401738.1"		"一种有机电致发光材料及包含该材料的有机电致发光器件"
"沈阳航天新乐有限责任公司"	"CN201910392922.4"		"具有机械臂的货车"
"陕西莱特光电材料股份有限公司"	"CN201910515733.1"		"有机电致发光材料及包含该材料的有机电致发光器件"
"陕西莱特光电材料股份有限公司"	"CN201910557756.9"		"一种防晒剂中间体对苯二亚甲基二樟脑磺酸的合成方法"
"陕西莱特光电材料股份有限公司"	"CN201910395247.0"		"一种空穴传输材料及其合成方法和包含该材料的器件"
"陕西莱特光电材料股份有限公司"	"CN201910523543.4"		"一种包含多环烷烃的芳香族衍生物及包含该衍生物的有机电致发光器件"
"陕西莱特光电材料股份有限公司"	"CN201910532443.8"		"一种有机电致发光材料及包含该材料的有机电致发光器件"
"陕西莱特光电材料股份有限公司"	"CN201910544139.5"		"一种杂环有机光电材料及其制备方法与应用"
"沈阳航天新乐有限责任公司"	"CN201910504625.4"		"一种铰点连接方法及其连接机构"
"陕西莱特光电材料股份有限公司"	"CN201910551411.2"		"一种含金刚烷基的三苯胺类衍生物的制备方法"
"陕西莱特光电材料股份有限公司"	"CN201910637168.6"		"一种杂环化合物及其合成方法和包含该化合物的有机电致发光元件"
"陕西莱特光电材料股份有限公司"	"CN201910550532.5"		"一种有机电致发光器件"
"陕西莱特光电材料股份有限公司"	"CN201910584152.3"		"一种有机电致发光材料及其合成方法和应用"
"陕西莱特光电材料股份有限公司"	"CN201910636296.9"		"含三环庚烷的有机化合物及其制备方法和包含该化合物的有机电致发光器件"
"陕西莱特光电材料股份有限公司"	"CN201910765403.8"		"含氮化合物、有机电致发光器件和光电转化器件"
"陕西莱特光电材料股份有限公司"	"CN201910785145.X"		"含氮化合物、光电转化器件及电子装置"
"陕西莱特光电材料股份有限公司"	"CN201910755710.8"		"有机电致发光器件和电子装置"
"陕西莱特光电材料股份有限公司"	"CN201910785100.2"		"有机电致发光器件和电子装置"
"陕西莱特光电材料股份有限公司"	"CN201910797929.4"		"含氮化合物、有机电致发光器件以及光电转化器件"
"陕西莱特光电材料股份有限公司"	"CN201910785099.3"		"有机电致发光器件、电子装置"
"陕西莱特光电材料股份有限公司"	"CN201910912616.9"		"化合物、光电转化器件及电子装置"
"沈阳沈大内窥镜有限公司"	"CN00110310.5"		"肛肠高位直视注射枪"
"沈阳沈大内窥镜有限公司"	"CN200310104939.4"		"双极电极及其联接结构"
"家荣高科技(沈阳)有限公司"	"CN200820015205.7"	"20090527"	"换套箱式鞋套机"
"家荣高科技(沈阳)有限公司"	"CN200920203612.5"	"20100609"	"降温安全帽"
"沈阳沈大内窥镜有限公司"	"CN201020527606.8"	"20110330"	"激光手术内窥镜"
"沈阳沈大内窥镜有限公司"	"CN201020527600.0"	"20110615"	"微创经皮肾镜"
"沈阳沈大内窥镜有限公司"	"CN201020527599.1"	"20110615"	"头部CT同层面穿刺定向器"
"沈阳航天新乐有限责任公司"	"CN201020616927.5"	"20110615"	"随车双吊运输车"
"沈阳沈大内窥镜有限公司"	"CN201120014513.X"	"20110817"	"激光水止血探头"
"沈阳沈大内窥镜有限公司"	"CN201120014531.8"	"20111130"	"双管切割内镜吸引清除器"
"沈阳航天新乐有限责任公司"	"CN201120201129.0"	"20120201"	"加工高精度非金属小球的装置"
"沈阳沈大内窥镜有限公司"	"CN201020678311.0"	"20120215"	"两点导航立体定向设备"
"家荣高科技(沈阳)有限公司"	"CN201120208711.X"	"20120222"	"晶圆清洗机"
"沈阳航天新乐有限责任公司"	"CN201120201135.6"	"20120314"	"加工高精度小直径斜孔的装置"
"沈阳航天新乐有限责任公司"	"CN201120304180.4"	"20120523"	"加工薄壁易变形零件的工装"
"沈阳航天新乐有限责任公司"	"CN201120398158.0"	"20120704"	"测试设备中的干扰源装置"
"沈阳航天新乐有限责任公司"	"CN201120398145.3"	"20120704"	"测量燃气发生器作用力的测试装置"
"陕西瑞盛生物科技有限公司"	"CN201220033393.2"	"20120912"	"用于皮肤损伤修复的真皮替代物"
"沈阳航天新乐有限责任公司"	"CN201220062466.0"	"20121003"	"加工细长孔零件的工装"
"沈阳航天新乐有限责任公司"	"CN201220062453.3"	"20121003"	"加工长斜孔零件的工装"
"陕西瑞盛生物科技有限公司"	"CN201220148766.0"	"20121128"	"一种用于组织工程角膜构建和保存的容器"
"西安一体医疗科技有限公司"	"CN201220219854.5"	"20130123"	"一种多源往复回转式伽玛射线装置"
"沈阳沈大内窥镜有限公司"	"CN201220308804.4"	"20130227"	"经皮肾微造瘘碎石排除装置"
"沈阳航天新乐有限责任公司"	"CN201220427029.4"	"20130306"	"用于加工高精度薄型零件的辅助工装"
"陕西瑞盛生物科技有限公司"	"CN201220460876.0"	"20130313"	"一种生物栓的卷制装置"
"沈阳沈大内窥镜有限公司"	"CN201220456816.1"	"20130403"	"带有内窥镜的腹腔穿刺装置"
"沈阳沈大内窥镜有限公司"	"CN201220514533.8"	"20130403"	"内窥镜下的前列腺组织取出钩"
"西安一体医疗科技有限公司"	"CN201220219862.X"	"20130410"	"一种摆位验证联接装置"
"陕西瑞盛生物科技有限公司"	"CN201220315803.2"	"20130424"	"肛瘘治疗生物栓"
"陕西瑞盛生物科技有限公司"	"CN201220314934.9"	"20130424"	"一种瘘的修复物"
"西安一体医疗科技有限公司"	"CN201220221908.1"	"20130508"	"一种伽马辐射摆位验证装置"
"沈阳航天新乐有限责任公司"	"CN201320080393.2"	"20130724"	"导弹制导力测量机构"
"沈阳航天新乐有限责任公司"	"CN201320080421.0"	"20130724"	"一种舵面加载装置"
"陕西瑞盛生物科技有限公司"	"CN201320114933.4"	"20130925"	"一种生物羊膜结构"
"沈阳航天新乐有限责任公司"	"CN201320251599.7"	"20131127"	"一种轴尖包装瓶"
"沈阳航天新乐有限责任公司"	"CN201320448313.4"	"20140115"	"一种装卸舵面机构"
"沈阳航天新乐有限责任公司"	"CN201320449475.X"	"20140115"	"轴承间隙测量机构"
"沈阳航天新乐有限责任公司"	"CN201320836650.0"	"20140618"	"一种研磨工装"
"家荣高科技(沈阳)有限公司"	"CN201320706507.X"	"20140723"	"漏斗过滤装置"
"沈阳航天新乐有限责任公司"	"CN201420088892.0"	"20140723"	"工程车辆的冷却系统"
"沈阳航天新乐有限责任公司"	"CN201420110565.0"	"20140730"	"一种装卸轴承机构"
"沈阳航天新乐有限责任公司"	"CN201420364254.7"	"20141203"	"一种红外目标源模拟装置"
"沈阳航天新乐有限责任公司"	"CN201420482301.8"	"20150107"	"一种观测装置的升降机构"
"陕西瑞盛生物科技有限公司"	"CN201420568841.8"	"20150218"	"一种治疗瘘的植入物装置"
"沈阳航天新乐有限责任公司"	"CN201420639705.3"	"20150408"	"一种油田油管杆的输送装置"
"沈阳航天新乐有限责任公司"	"CN201420772101.6"	"20150506"	"高精度小直径尖端研磨装置"
"沈阳沈大内窥镜有限公司"	"CN201420606955.7"	"20150520"	"一种肾脏清石操作鞘"
"沈阳沈大内窥镜有限公司"	"CN201420603096.6"	"20150708"	"一种微创宫腔镜"
"沈阳沈大内窥镜有限公司"	"CN201420654921.5"	"20150722"	"一种脑表硬膜下置管引导装置"
"沈阳沈大内窥镜有限公司"	"CN201420608056.0"	"20150812"	"一种专用避孕腹腔镜"
"陕西瑞盛生物科技有限公司"	"CN201420831113.1"	"20150819"	"一种层流干燥设备"
"沈阳沈大内窥镜有限公司"	"CN201520306574.1"	"20150916"	"十二指肠镜"
"沈阳沈大内窥镜有限公司"	"CN201520329150.7"	"20150923"	"激光手术操作装置"
"沈阳沈大内窥镜有限公司"	"CN201420608058.X"	"20150923"	"一种可视脑吸引管"
"沈阳航天新乐有限责任公司"	"CN201520282334.2"	"20151014"	"杆件冲弯机构"
"沈阳沈大内窥镜有限公司"	"CN201520567856.7"	"20151216"	"用一次性耗材防护的十二指肠镜"
"陕西瑞盛生物科技有限公司"	"CN201520602401.4"	"20151216"	"一种芯线夹紧机构及生物材料的卷制装置"
"陕西瑞盛生物科技有限公司"	"CN201520605791.0"	"20151216"	"一种芯线倾斜机构及防止卷制粘连的瘘栓卷制装置"
"陕西瑞盛生物科技有限公司"	"CN201520602402.9"	"20151223"	"一种瘘栓卷制装置"
"陕西安信医学技术开发有限公司"	"CN201520713958.5"	"20160106"	"用于人体骨折复位的固定夹板"
