"ID"	"Chinese_title"	"Chinese_periodical_name"	"years"	"Chinese_keyword"
"QKC20192019031100029982"	"基于多源数据融合的过江OD调查技术-以江苏省过江OD调查为例"	"中国公路"	"2019"	"OD调查%多源数据%数据技术%过江通道%行业数据%调查技术%手机数据%调查数据%属性表%出行时间"
"QKC20192019031100033062"	"地灾监测的大数据信息平台研究及应用"	"测绘通报"	"2019"	"北斗卫星导航系统%GNSS%地灾监测%HCmonitor"
"QKC20192019031100079874"	"智能燃气表主控电路板仿真检测技术"	"煤气与热力"	"2019"	"智能燃气表%电路板%仿真检测技术"
"QKC20192019031100080210"	"膜式燃气表气流分配阀密封性动态检测技术"	"煤气与热力"	"2019"	"膜式燃气表%气流分配阀%密封性%动态检测%泄漏检测"
"QKC20192019031100109866"	"传化网:服务生产制造降本增效"	"信息化建设"	"2019"	"传化%供应链服务%平台体系%物流供应链%生产制造业%技术驱动%物流效率%生产制造企业%智能制造%城市物流"
"QKC20192019031100135748"	"大数据时代企业档案管理的实物与声像档案数字化管理分析"	"知识经济"	"2019"	"大数据时代%实物与声像%数字化管理%档案采集"
"QKC20192019031100138506"	"大数据技术在企业战略管理中的应用探究"	"知识经济"	"2019"	"大数据技术%战略管理%优势%应用探究"
"QKC20192019031100144779"	"大数据对企业市场营销的影响及营销模式的优化"	"知识经济"	"2019"	"大数据%市场营销%影响%营销模式%优化"
"QKC20192019031300015897"	"人工智能技术在语音交互领域的探索与应用"	"信息技术与标准化"	"2019"	"语音交互%对话系统%语义理解%语音识别"
"QKC20192019031300022036"	"业财融合在企业中的应用现状与应对措施研究"	"财经界"	"2019"	"企业%业财融合%现状%对策"
"QKC20192019031300048108"	"人工智能对社会变革的影响"	"科技传播"	"2019"	"人工智能%社会变革%趋势"
"QKC20192019031300114227"	"大数据安全流通机制的研究与应用"	"信息安全与通信保密"	"2019"	"数据安全%数据流通%数据技术%生产要素%数据流动%数据源%利用效率%数据共享%深度应用%战略资源"
"QKC20192019031300139145"	"工业互联网数据安全解决方案"	"自动化博览"	"2019"	"数据安全%互联网安全%工业制造%智慧系统%信息安全产业%中国自动化学会%智能化技术%中国仪器仪表%创新联盟%自动化博览"
"QKC20192019031300142905"	"基于向量速度的超声血流量计算方法探讨"	"中国医疗器械信息"	"2019"	"向量速度%血流量%超声"
"QKC20192019032500003405"	"物联网金融终端服务平台的设计"	"电子技术与软件工程"	"2019"	"物联网%金融%平台"
"QKC20192019032500020195"	"物联网技术在平行进口车业务中的应用"	"电子技术与软件工程"	"2019"	"物联网%平行进口车%虚拟电子围栏"
"QKC20192019032500021238"	"""互联网+""下企业管理会计框架设计方法分析"	"财会学习"	"2019"	"""互联网+""%企业管理%会计框架%设计方法%分析"
"QKC20192019032500040039"	"电线电缆制造的新工艺分析"	"集成电路应用"	"2019"	"电力工程%电线电缆%制造工艺"
"QKC20192019032500041767"	"M-BUS远程集中抄表系统的设计"	"集成电路应用"	"2019"	"远程系统%集中抄表%M-BUS%集中器"
"QKC20192019032500046772"	"BL0940防漏电计量芯片在智能家居的应用"	"集成电路应用"	"2019"	"计量芯片%漏电检测%免校准%采样电阻"
"QKC20192019032500046922"	"大数据下管理会计机遇和挑战"	"经济师"	"2019"	"大数据时代%管理会计%机遇和挑战"
"QKC20192019032500050299"	"人工智能在电气工程自动化中的应用"	"集成电路应用"	"2019"	"人工智能%电气工程%自动化"
"QKC20192019032500059667"	"PCB Layout设计中采样电路走线不平衡对计量精度的影响"	"集成电路应用"	"2019"	"电路设计%信息采集%智能终端%采样器件"
"QKC20192019032500061516"	"敏感环境下多规格圆环支撑的超大超深基坑施工"	"山西建筑"	"2019"	"地墙施工%基坑开挖%控制措施"
"QKC20192019032500111633"	"某公司企业级云存储产品营销策略研究"	"现代经济信息"	"2019"	"企业级%云存储产品%营销策略"
"QKC20192019032500129985"	"湖北省领导一行调研长飞公司工业互联网发展推进现状"	"现代传输"	"2019"	"互联网%智能制造%股份有限公司%光纤光缆%副总裁%胡道%人民政府%指挥中心%经验成果%王化"
"QKC20192019032500136011"	"企业电子文件归档和电子档案管理的启示"	"中国档案"	"2019"	"电子文件归档%电子档案管理%国泰君安%国家档案局%信息技术%档案利用%读取%索引库%面部特征%档案内容"
"QKC20192019032500143889"	"城市生活废水处理及环境保护的影响"	"当代化工研究"	"2019"	"生活废水%环境保护%可持续发展"
"QKC20192019032800000034"	"基于LC1860平台的卫星通信音频转发设计"	"电子世界"	"2019"	
"QKC20192019032800016762"	"公交大数据及其应用"	"城市公共交通"	"2019"	
"QKC20192019032800017739"	"互联网大数据时代对会计工作的影响分析"	"财会学习"	"2019"	"互联网%会计工作%传统%影响"
"QKC20192019032800040486"	"以人工智能为基础的电厂电气自动化系统的实现路径"	"科学技术创新"	"2019"	"人工智能%电厂%电气自动化系统"
"QKC20192019032800041373"	"车辆特征识别技术在高速公路中的应用"	"中国交通信息化"	"2019"	"车辆识别%人工智能%大数据%智慧高速"
"QKC20192019032800098377"	"基于大数据与物联网的智慧文物修复保护系统"	"信息与电脑(理论版)"	"2019"	"物联网%大数据%博物馆%文物修复保护%智慧文物修复保护系统"
"QKC20192019032800103731"	"基于物联网的环境监控系统设计与实现"	"信息与电脑(理论版)"	"2019"	"物联网%环境监控系统%串行网络"
"QKC20192019032800117600"	"大数据形势下的广播电视安全播出技术研究"	"数字通信世界"	"2019"	"大数据形势%广播电视%安全播出技术"
"QKC20192019032800137351"	"广电智能推荐与大数据分析的运用探讨"	"有线电视技术"	"2019"	"智能推荐%大数据分析%精准%个性化%多维"
"QKC20192019032800138071"	"基于MTU值设置不当导致传输网和数据网设备对接丢包问题的分析处理"	"有线电视技术"	"2019"	"MTU%丢包%传输网%数据网"
"QKC20192019032800139573"	"一种物联网电梯编码器系统设计"	"中国电梯"	"2019"	"电梯%物联网编码器%蓝牙组网%云平台%故障预警"
"QKC20192019032800141233"	"一种触摸自调节的物联网显示屏远程求助系统"	"中国电梯"	"2019"	
"QKC20192019040200002043"	"家禽饲养场免疫失败原因分析及预防措施"	"兽医导刊"	"2019"	
"QKC20192019040200024047"	"基于工业物联网的工程机械智能装配关键技术分析"	"科技创新与应用"	"2019"	"工程机械%智能装配%工业物联网%状态感知"
"QKC20192019040200029438"	"用他人商标作唤醒词的法律性质辨析"	"中华商标"	"2019"	
"QKC20192019040200034194"	"大数据数字媒体时代网络爬虫技术下的精准招商"	"电子技术与软件工程"	"2019"	"大数据%网络爬虫%精准招商"
"QKC20192019040200047972"	"数字化技术助力上海建工创新转型发展"	"科技创新与品牌"	"2019"	
"QKC20192019040200079871"	"称重系统现场控制站集成改造研究"	"设备管理与维修"	"2019"	"现场控制站%集成%Profi-bus通信协议%机械安装%电气安装"
"QKC20192019040200080735"	"物联网对人类生活与管理方式的影响"	"信息技术与信息化"	"2019"	"物联网%人类生活%管理方式%具体影响"
"QKC20192019040200082881"	"物联网技术在生活中的应用以及发展研究"	"信息技术与信息化"	"2019"	"物联网技术%生活%应用%发展"
"QKC20192019040200130753"	"涪陵大型海相页岩气田成藏条件及高效勘探开发关键技术"	"石油学报"	"2019"	"涪陵%页岩气%勘探%钻完井%分段压裂%环境保护%商业开发"
"QKC20192019040200153170"	"疲劳试验数据在疲劳强度评估的应用研究"	"工程技术研究"	"2019"	"DFR%疲劳试验数据%寿命评定%疲劳强度"
"QKC20192019041100038331"	"对抗样本在自动驾驶领域应用现状"	"合作经济与科技"	"2019"	"对抗样本%自动驾驶%机器学习%神经网络"
"QKC20192019041100053059"	"浅谈船舶钢板焊接新技术的发展现状"	"科学技术创新"	"2019"	"焊接新技术%电子束焊%激光焊%搅拌摩擦焊"
"QKC20192019041100085769"	"论航空公司商业模式:面向""新零售""的价值链重构"	"民航学报"	"2019"	"价值链重构%航空公司商业模式%""航空+新零售""%开放平台"
"QKC20192019041100087588"	"数控加工中组合零件的模具设计与优化"	"内燃机与配件"	"2019"	"组合零件%模具%设计%优化"
"QKC20192019041900013161"	"混合打浆与分别打浆在薄页印刷纸中的应用探讨"	"造纸装备及材料"	"2019"	"打浆%电耗%物理指标"
"QKC20192019041900014156"	"基于深度学习算法的人证核验解决方案"	"中国公共安全"	"2019"	
"QKC20192019041900049704"	"一种模拟高清摄像机高速长距离数据传输的方法"	"集成电路应用"	"2019"	"集成电路%高清摄像%数据传输%信号处理"
"QKC20192019041900051567"	"基于FPGA的振动信号采集系统设计"	"金属加工(冷加工)"	"2019"	
"QKC20192019041900089798"	"业财融合下管理会计职能转型"	"财会研究"	"2019"	"业财融合%管理会计%职能转型"
"QKC20192019041900105402"	"人工智能平台在人脸识别中的应用"	"信息通信技术"	"2019"	"人工智能%训练平台%GPU%TensorFlow%人脸识别"
"QKC20192019041900106309"	"关于商业银行大数据应用的思考和探析"	"现代经济信息"	"2019"	"大数据%商业银行%应用"
"QKC20192019041900106321"	"银行大数据挖掘、使用和管理的方法"	"现代经济信息"	"2019"	"银行大数据挖掘技术%大数据使用和管理%方法"
"QKC20192019041900133861"	"从财务角度浅谈如何提升供应链运作效率"	"现代经济信息"	"2019"	"供应链%财务方面%运作效率"
"QKC20192019041900136117"	"微机电系统发展现状及关键技术分析"	"新材料产业"	"2019"	
"QKC20192019041900147680"	"化工三废处理及化工绿色环保发展方向探析"	"云南化工"	"2019"	"环境监测%化工企业%三废污染%处理"
"QKC20192019041900163114"	"环保酵素改良滨海盐碱性土壤的应用研究"	"资源节约与环保"	"2019"	"环保酵素%盐碱土%有机质%全氮%全磷"
"QKC20192019041900163711"	"智慧广电融合无限"	"有线电视技术"	"2019"	"智慧广电%融合"
"QKC20192019042500016384"	"提高家禽免疫效果的方法"	"兽医导刊"	"2019"	
"QKC20192019042500022633"	"断奶仔猪过渡期的饲养管理"	"兽医导刊"	"2019"	
"QKC20192019042500022921"	"浅谈人工智能技术在电气自动化控制中的应用"	"电声技术"	"2019"	"人工智能技术%电气自动化控制%应用"
"QKC20192019042500025871"	"大数据在电信移动通信网络优化中的应用"	"电子技术与软件工程"	"2019"	"大数据技术%移动通信%网络优化%网络数据"
"QKC20192019042500029089"	"工业电子商务企业财务风险研究"	"财会学习"	"2019"	"工业电子商务%企业财务风险%研究"
"QKC20192019042500029466"	"新美星数字化饮料工厂方案"	"酒·饮料技术装备"	"2019"	
"QKC20192019042500087231"	"推动信号管控产业化、助力信息网络安全"	"数字通信世界"	"2019"	"信号管控%信息网络安全%产业化"
"QKC20192019042500094869"	"集成电路芯片湿法去层技术研究"	"数字通信世界"	"2019"	"集成电路%芯片湿法去层技术%原理%结构%模式"
"QKC20192019042500098177"	"基于物联感知技术的高速公路机电设施设备精细化管理系统"	"数码世界"	"2019"	"云计算%物联网%动态感知%机电运维%精细化管理"
"QKC20192019042500101310"	"触摸屏与PLC在火电厂粉煤灰气力输送系统的应用"	"现代信息科技"	"2019"	"触摸屏%PLC%气力运输"
"QKC20192019042500103083"	"浅谈物联网技术在电梯维保管理中的应用"	"现代信息科技"	"2019"	"物联网技术%电梯维保管理%智慧电梯%电梯物联网"
"QKC20192019042500108379"	"浅析情感人工智能的发展趋势"	"中国安防"	"2019"	
"QKC20192019042500125931"	"打造多维动态大数据防控系统 以AI赋能智慧社区安防深度应用"	"中国安防"	"2019"	
"QKC20192019043000017094"	"物联网技术在智能家居中的应用现状与趋势探究"	"电子元器件与信息技术"	"2019"	"物联网%智能家居%现状%趋势"
"QKC20192019043000023900"	"基于RFID和软件工程的数字矿山信息平台分析与设计"	"世界有色金属"	"2019"	"RFID%软件工程%数字矿山%分析与设计"
"QKC20192019043000028599"	"大数据时代的业财融合探讨"	"财会学习"	"2019"	"大数据%财务管理%业财融合"
"QKC20192019043000042303"	"大数据时代企业人力资源管理变革的思考"	"就业与保障"	"2019"	"大数据%人力资源管理%变革%企业"
"QKC20192019043000055324"	"管段自动化跟踪系统的应用研究"	"机电信息"	"2019"	"智能制造%管段自动化跟踪系统%可视化%二维码%RFID标签"
"QKC20192019043000060632"	"久其金建 建筑企业数字化专家!"	"施工企业管理"	"2019"	
"QKC20192019043000068831"	"铜引线框架氧化对集成电路分层的影响浅析"	"中国集成电路"	"2019"	"引线框架%氧化%分层"
"QKC20192019043000123654"	"猪流行性腹泻病毒基因及疫苗的研究进展"	"畜牧兽医科技信息"	"2019"	"猪流行性腹泻病毒%基因%疫苗"
"QKC20192019043000142549"	"云计算安全模型与架构研究"	"信息安全研究"	"2019"	"云计算%云安全风险%等级保护%云计算安全模型%云计算安全架构"
"QKC20192019043000143459"	"策论车联网体系架构及关键技术"	"中国新通信"	"2019"	"车联网%体系架构%智能化%应用"
"QKC20192019043000144984"	"基于外形数控程序的PCB Mapping可视化分析"	"汽车实用技术"	"2019"	"大数据分析%PCB%Mapping%聚类"
"QKC20192019043000160580"	"AI驱动下停车场出入口控制技术的发展现状"	"中国安防"	"2019"	
"QKC20192019043000173107"	"大数据和云计算平台的应用情况的相关研究"	"科技创新导报"	"2019"	"大数据%云计算%应用策略"
"QKC20192019050800000646"	"低压智能电器PCB电磁兼容设计准则"	"电气时代"	"2019"	
"QKC20192019050800001931"	"交通拥堵智能监测的车联网环境构建"	"交通节能与环保"	"2019"	"智能交通%车联网%拥堵治理%监测评价%环境构建"
"QKC20192019050800100036"	"移动式陶瓷膜装置在海上平台三甘醇回收系统中的应用"	"化工设计通讯"	"2019"	"陶瓷膜%三甘醇%海上平台"
"QKC20192019050800132953"	"大数据时代下企业财务管理探究"	"中国商论"	"2019"	"大数据%企业%财务管理%措施"
"QKC20192019051600006653"	"疫苗普免对养猪场的重要意义"	"当代畜禽养殖业"	"2019"	"跟胎免疫%普免%优缺点"
"QKC20192019051600008129"	"交通大数据应用之殇"	"中国公路"	"2019"	
"QKC20192019051600028684"	"探讨关于数字时代国企转型面临的机遇和挑战"	"低碳世界"	"2019"	"数字时代%国企%转型"
"QKC20192019051600031405"	"关于企业集团财务共享模式的分析研究"	"商场现代化"	"2019"	"财务共享%大数据%管理会计"
"QKC20192019051600035002"	"西门子840Dsl针对力矩电动机控制技术的应用"	"金属加工(冷加工)"	"2019"	
"QKC20192019051600036103"	"流程行业的""智能化工厂""思考"	"化工设计"	"2019"	"智能制造%两化融合%数字化工厂%智能工厂%信息化"
"QKC20192019051600050934"	"集成电路设计产业园规划方法研究"	"城市建筑"	"2019"	"集成电路设计%产业园%科技创新"
"QKC20192019051600057018"	"论称重物联网再深入"	"衡器"	"2019"	"物联网战略%称重物联网%物联网再发展%差异化%大数据"
"QKC20192019051600057360"	"化工厂污水处理站水质在线分析仪表设计选型"	"化工设计"	"2019"	"水质分析%在线分析仪%环保"
"QKC20192019051600059123"	"高性能碳纤维/环氧树脂复合材料板的制备及其性能表征研究"	"化工新型材料"	"2019"	"拉挤成型%碳纤维%复合材料%性能表征"
"QKC20192019051600060763"	"新型摩擦技术在海洋石油平台防喷器转运设备上的应用"	"石油和化工设备"	"2019"	"防喷器转运设备%新材料%摩擦系数%低速重载"
"QKC20192019051600063700"	"科大讯飞:从语音到AI的前行之路"	"中国工业和信息化"	"2019"	
"QKC20192019051600094367"	"中小企业全面预算管理的困境及对策探讨"	"中国市场"	"2019"	"中小企业%全面预算管理%信息化"
"QKC20192019051600101534"	"商业卫星物联网应用技术探讨"	"中国新通信"	"2019"	"5G%CDMA扩频通信%L波段%Ku-Ka%VSAT%小卫星"
"QKC20192019051600103750"	"光纤传输系统中存在的问题及对策"	"数字技术与应用"	"2019"	"光纤传输系统%问题%对策"
"QKC20192019051600105330"	"司法大数据的现状、挑战及应用改进"	"中国新通信"	"2019"	"司法大数据%应用挑战%应用改进"
"QKC20192019051600111382"	"凝壳炉用一体化整流变压器"	"通信电源技术"	"2019"	"整流变压器%同相逆并联%凝壳炉"
"QKC20192019051600118523"	"电力通信技术在智能电网中的应用"	"通信电源技术"	"2019"	"电力通信技术%智能电网%输电网络"
"QKC20192019051600140008"	"循环经济与国际贸易可持续发展的战略措施"	"中外企业家"	"2019"	"循环经济%国际贸易%可持续发展%措施%战略"
"QKC20192019052200000632"	"云计算及物联网技术在智慧城市中的应用"	"电子技术与软件工程"	"2019"	"云计算%物联网技术%智慧城市"
"QKC20192019052200001757"	"人工智能助力警务革新"	"中国公共安全"	"2019"	
"QKC20192019052200010691"	"OBD软件系统设计"	"电子质量"	"2019"	"OBD%系统%汽车数据"
"QKC20192019052200011363"	"大数据背景下企业管理模式创新"	"财经界(学术版)"	"2019"	"大数据%企业管理%企业数据"
"QKC20192019052200014416"	"浅析数字化新媒体传播生态的IP打造与运营"	"传播力研究"	"2019"	"数字新媒体%IP打造%IP运营"
"QKC20192019052200020476"	"园林工程中创新技术、新材料的应用及项目管理探析-以深圳万科前海企业公馆园林景观建设工程为例"	"园艺与种苗"	"2019"	"新技术新材料%园林景观%建设工程%项目管理%结算管理%前海公司"
"QKC20192019052200031292"	"AI大数据在公安图像应用的实战化进程"	"中国公共安全"	"2019"	
"QKC20192019052200046732"	"彼得·卒姆托建筑创作中自然元素的引用初探"	"现代园艺"	"2019"	"彼得·卒姆托%建筑师创作%自然元素"
"QKC20192019052200061283"	"一种无损高清视频编码的参考帧压缩方法"	"集成电路应用"	"2019"	"视频编解码%参考帧%无损压缩"
"QKC20192019052200067925"	"电池供电低功耗无线网络摄像机的设计"	"集成电路应用"	"2019"	"网络摄像机%低功耗%无线网"
"QKC20192019052200086210"	"互联网+大数据时代人力资源管理面临的机遇与挑战"	"企业改革与管理"	"2019"	"""互联网+""%大数据%人力资源管理%机遇%挑战"
"QKC20192019052200089605"	"企业财务分析存在的问题及完善对策"	"企业改革与管理"	"2019"	"企业%财务分析%问题%对策"
"QKC20192019052200098789"	"通信领域大数据能力开放平台的研究与设计"	"数字通信世界"	"2019"	"通信领域%大数据%开放平台"
"QKC20192019052200103361"	"基于大数据平台的火电机组实时运行状态监测"	"华电技术"	"2019"	"状态管理%非计划停机%降出力%大数据"
"QKC20192019052200104444"	"基于城乡规划设计中的生态建筑设计探讨"	"现代物业(中旬刊)"	"2019"	"城乡规划设计%生态建筑设计%协调配合%新技术%新材料"
"QKC20192019052200123448"	"让世界装饰原纸进入中国时代"	"造纸信息"	"2019"	
"QKC20192019052200132053"	"AI加持下的移动警务发展变化与趋势"	"中国安防"	"2019"	
"QKC20192019052200133098"	"浅析物联网+安防在智慧社区建设中的深度应用"	"中国安防"	"2019"	
"QKC20192019052200137607"	"大数据审计的创新模式研究"	"中国商论"	"2019"	"大数据审计%数字化审计框架和创新模式"
"QKC20192019052200140891"	"浅谈价值链成本管理-以传统制造业为例"	"中国商论"	"2019"	"传统制造业%价值链%成本管理"
"QKC20192019052200147328"	"科大讯飞AI双创技术路线图"	"中国信息界"	"2019"	
"QKC20192019052900008388"	"核算会计向管理会计转型的研究"	"会计师"	"2019"	"核算会计%管理会计%转型"
"QKC20192019052900048872"	"浅谈智能制造在氟化工行业的发展趋势"	"河南化工"	"2019"	"无机氟化工%智能化%自动化"
"QKC20192019052900099371"	"大数据在企业税务风险管理中的运用"	"现代商业"	"2019"	"税务风险%大数据%意义%应用"
"QKC20192019052900099720"	"键合球脱现象的调查分析及质量管控"	"现代信息科技"	"2019"	"键合%球脱%质量管控%封装工艺"
"QKC20192019052900108764"	"大数据发展对管理会计带来的影响分析"	"现代经济信息"	"2019"	"企业%大数据%管理会计%机遇%挑战"
"QKC20192019052900109682"	"物联网技术在企业信息化管理中的应用分析"	"现代经济信息"	"2019"	"物联网技术%企业信息化%管理应用"
"QKC20192019060500008442"	"海洋石油平台管道布置设计与研究"	"化学工程与装备"	"2019"	"海洋石油%管道布置%石油开采%研究%管路设计"
"QKC20192019060500031118"	"城市黑臭水体的综合治理"	"节能"	"2019"	"城市黑臭水体%综合治理%措施"
"QKC20192019060500044524"	"利用VREF Margin方法分析与解决DDR3参数最优化问题"	"中国集成电路"	"2019"	
"QKC20192019060500047136"	"STC7528平头塔机智能化技术的设计与应用"	"建设机械技术与管理"	"2019"	"平头塔机%智能化%大数据%信息管理"
"QKC20192019060500050368"	"浅析铜线键合铝垫裂纹的预防和改善"	"中国集成电路"	"2019"	"铝垫裂纹%改善措施%特殊管控"
"QKC20192019060500060174"	"人工智能技术在电气自动化控制中的应用思路探索"	"内燃机与配件"	"2019"	"人工智能%电气自动化%应用思路%科学分析"
"QKC20192019060500074745"	"内部审计在企业风险管控中的积极作用分析"	"商场现代化"	"2019"	"内部审计%企业风险管控%积极作用%策略"
"QKC20192019060500085663"	"大数据背景下互联网用户行为分析"	"数字技术与应用"	"2019"	"大数据%互联网%用户行为"
"QKC20192019060500117754"	"浅议企业财务会计向管理会计转型的问题及对策"	"中国商论"	"2019"	"人工智能%管理会计%财务会计%转型"
"QKC20192019061200006632"	"集成电路封装技术与低成本质量控制"	"电子技术与软件工程"	"2019"	"集成电路%封装%低成本%质量控制"
"QKC20192019061200067022"	"电气自动化在工业机械控制中的应用探讨"	"内燃机与配件"	"2019"	"电气自动化%工业机械控制%人工智能"
"QKC20192019061200070716"	"NB-IoT通信技术在智能燃气表的应用"	"煤气与热力"	"2019"	"智能燃气表%窄带物联网NB-IoT%网关%无线通信技术"
"QKC20192019061200092262"	"基于FPGA的嵌入式图像处理系统设计"	"中国新通信"	"2019"	"FPGA%图像处理%AXI总线"
"QKC20192019061800001094"	"膜前预处理技术在印染废水处理中的应用进展"	"广东化工"	"2019"	"膜%印染废水%膜集成系统%絮凝"
"QKC20192019061800001111"	"基于雾计算的物联网应用研究"	"信息通信技术与政策"	"2019"	"云计算%雾计算%物联网"
"QKC20192019061800003389"	"医疗器械企业成本管理与改进"	"管理观察"	"2019"	"医疗器械企业%生产成本管理%研发成本管理%解决策略"
"QKC20192019061800010794"	"智能装备制造,制造智能装备"	"电气时代"	"2019"	
"QKC20192019061800071720"	"""互联网+政务服务""系统方案设计"	"江苏通信"	"2019"	"互联网+%政务服务%大数据%数据交换共享"
"QKC20192019061800078572"	"财务共享中心建设过程中的几点思考"	"商业会计"	"2019"	"财务共享中心%财务管理%信息化%共享服务"
"QKC20192019062600006352"	"""中国制造""无人驾驶客车首次驶入日本"	"人民公交"	"2019"	
"QKC20192019062600023066"	"探讨节能型技术在风景园林施工中的应用"	"居舍"	"2019"	"节能型技术%风景园林%应用"
"QKC20192019062600023866"	"一种基于SDK的WiFi模块完全自动化的测试方法"	"集成电路应用"	"2019"	"集成电路测试%软件开发工具包%WiFi%自动化测试"
"QKC20192019062600026842"	"物联网战略下投资发展思路"	"中国计量"	"2019"	
"QKC20192019062600031507"	"基于大数据的中小型制造企业成本管理优化研究"	"金融经济"	"2019"	"大数据%信息化%成本管理"
"QKC20192019062600054170"	"芯片铜互连电镀添加剂浓度对镀层性能的影响"	"集成电路应用"	"2019"	"集成电路制造%电镀铜%铜互连%添加剂"
"QKC20192019062600054757"	"大数据对中国制造业上市公司财务管理的影响"	"市场观察"	"2019"	"大数据%上市公司%制造业%财务管理"
"QKC20192019062600057586"	"煤矿安全生产标准化建设的必要性及其日常管理探讨"	"矿业装备"	"2019"	
"QKC20192019062600075145"	"废水调节池废气异味治理技术的应用"	"山西化工"	"2019"	"调节池废气%高能离子净化%光触媒光解%达标排放"
"QKC20192019062600082652"	"刍议大数据背景下企业财务管理模式的创新"	"商讯"	"2019"	"大数据%企业财务管理%创新"
"QKC20192019062600085432"	"大华助力广汽新能源打造数字化园区"	"现代建筑电气"	"2019"	
"QKC20192019062600099499"	"基于物联网和光纤环网的光伏电站集成监控系统方案"	"太阳能"	"2019"	"光伏电站%物联网%光纤环网%在线监测系统%集成监控系统"
"QKC20192019062600101530"	"AI理性价值的智能普及-以智能安防监控为例"	"现代信息科技"	"2019"	"AI%人工智能%智能安防监控"
"QKC20192019062600122559"	"大数据背景下企业人力资源管理发展思路探讨"	"中外企业家"	"2019"	"大数据%企业%人力资源管理"
"QKC20192019070800014979"	"智造感言"	"纺织机械"	"2019"	
"QKC20192019070800017664"	"浅谈编辑数字化转型的必要性及路径"	"传播力研究"	"2019"	"数字时代%编辑%数字化转型%蝶变%维度"
"QKC20192019070800049163"	"基于LVDS的通信系统设计"	"金属加工(冷加工)"	"2019"	
"QKC20192019070800049778"	"QTT65摆头铣削技术研究"	"金属加工(冷加工)"	"2019"	
"QKC20192019070800055647"	"工业互联网方向赛题一 赛题名称:海上风场SCADA数据缺失智能修复"	"软件和集成电路"	"2019"	
"QKC20192019070800055749"	"基于Python的科技情报智能化识别检索系统的研究与设计"	"科技视界"	"2019"	"大数据%科技情报%Python%网络爬虫"
