"机构名称(中文)"	"机构ID"	"ID"	"years"	"Chinese_title"
"南京宝色股份公司"	"T000044140"	"QKC20192019022700175662"	"2019"	"钛合金焊缝的超声检测工艺"
"汕头东风印刷股份有限公司"	"T000056402"	"QKC20192019022700204931"	"2019"	"浅谈印刷智能工厂"
"天水华天科技股份有限公司"	"03134173"	"QKC20192019030400038262"	"2019"	"存储器封装技术发展浅析"
"上海洗霸科技股份有限公司"	"T000238151"	"QKC20192019030400104217"	"2019"	"市政污水污泥处理现状及可持续发展对策"
"富奥汽车零部件股份有限公司"	"01000030"	"QKC20192019030400106824"	"2019"	"云会计问题研究"
"京东方科技集团股份有限公司"	"01002725"	"QKC20192019030400124016"	"2019"	"光刻法图案化石墨烯研究"
"大禹节水集团股份有限公司"	"T000025754"	"QKC20192019030400126625"	"2019"	"大数据背景下企业人力资源管理创新"
"中设设计集团股份有限公司"	"T000058810"	"QKC20192019031100029982"	"2019"	"基于多源数据融合的过江OD调查技术-以江苏省过江OD调查为例"
"上海华测导航技术股份有限公司"	"T000271200"	"QKC20192019031100033062"	"2019"	"地灾监测的大数据信息平台研究及应用"
"成都秦川物联网科技股份有限公司"	"Q001649BF8"	"QKC20192019031100079874"	"2019"	"智能燃气表主控电路板仿真检测技术"
"成都秦川物联网科技股份有限公司"	"Q001649BF8"	"QKC20192019031100080210"	"2019"	"膜式燃气表气流分配阀密封性动态检测技术"
"传化智联股份有限公司"	"03130771"	"QKC20192019031100109866"	"2019"	"传化网:服务生产制造降本增效"
"紫金矿业集团股份有限公司"	"03134633"	"QKC20192019031100135748"	"2019"	"大数据时代企业档案管理的实物与声像档案数字化管理分析"
"浙江闰土股份有限公司"	"03147683"	"QKC20192019031100138506"	"2019"	"大数据技术在企业战略管理中的应用探究"
"陕西烽火电子股份有限公司"	"01000561"	"QKC20192019031100144779"	"2019"	"大数据对企业市场营销的影响及营销模式的优化"
"科大讯飞股份有限公司"	"03134688"	"QKC20192019031300015897"	"2019"	"人工智能技术在语音交互领域的探索与应用"
"广州杰赛科技股份有限公司"	"T000026694"	"QKC20192019031300022036"	"2019"	"业财融合在企业中的应用现状与应对措施研究"
"杭州海康威视数字技术股份有限公司"	"T000026753"	"QKC20192019031300048108"	"2019"	"人工智能对社会变革的影响"
"优刻得科技股份有限公司"	"T000137302"	"QKC20192019031300114227"	"2019"	"大数据安全流通机制的研究与应用"
"启明星辰信息技术集团股份有限公司"	"T000027264"	"QKC20192019031300139145"	"2019"	"工业互联网数据安全解决方案"
"深圳迈瑞生物医疗电子股份有限公司"	"T000138376"	"QKC20192019031300142905"	"2019"	"基于向量速度的超声血流量计算方法探讨"
"中国民生银行股份有限公司"	"03129930"	"QKC20192019032500003405"	"2019"	"物联网金融终端服务平台的设计"
"中国民生银行股份有限公司"	"03129930"	"QKC20192019032500020195"	"2019"	"物联网技术在平行进口车业务中的应用"
"中联重科股份有限公司"	"01000157"	"QKC20192019032500021238"	"2019"	"""互联网+""下企业管理会计框架设计方法分析"
"宝胜科技创新股份有限公司"	"03130807"	"QKC20192019032500040039"	"2019"	"电线电缆制造的新工艺分析"
"上海贝岭股份有限公司"	"02600171"	"QKC20192019032500041767"	"2019"	"M-BUS远程集中抄表系统的设计"
"上海贝岭股份有限公司"	"02600171"	"QKC20192019032500046772"	"2019"	"BL0940防漏电计量芯片在智能家居的应用"
"中联重科股份有限公司"	"01000157"	"QKC20192019032500046922"	"2019"	"大数据下管理会计机遇和挑战"
"抚顺特殊钢股份有限公司"	"03129943"	"QKC20192019032500050299"	"2019"	"人工智能在电气工程自动化中的应用"
"上海贝岭股份有限公司"	"02600171"	"QKC20192019032500059667"	"2019"	"PCB Layout设计中采样电路走线不平衡对计量精度的影响"
"上海陆家嘴金融贸易区开发股份有限公司"	"02600663"	"QKC20192019032500061516"	"2019"	"敏感环境下多规格圆环支撑的超大超深基坑施工"
"中兴通讯股份有限公司"	"01000063"	"QKC20192019032500111633"	"2019"	"某公司企业级云存储产品营销策略研究"
"长飞光纤光缆股份有限公司"	"T000161964"	"QKC20192019032500129985"	"2019"	"湖北省领导一行调研长飞公司工业互联网发展推进现状"
"国泰君安证券股份有限公司"	"03131099"	"QKC20192019032500136011"	"2019"	"企业电子文件归档和电子档案管理的启示"
"上海洗霸科技股份有限公司"	"T000238151"	"QKC20192019032500143889"	"2019"	"城市生活废水处理及环境保护的影响"
"广州海格通信集团股份有限公司"	"T000027805"	"QKC20192019032800000034"	"2019"	"基于LC1860平台的卫星通信音频转发设计"
"郑州天迈科技股份有限公司"	"T000174145"	"QKC20192019032800016762"	"2019"	"公交大数据及其应用"
"中昌大数据股份有限公司"	"03129929"	"QKC20192019032800017739"	"2019"	"互联网大数据时代对会计工作的影响分析"
"青海盐湖工业股份有限公司"	"01000792"	"QKC20192019032800040486"	"2019"	"以人工智能为基础的电厂电气自动化系统的实现路径"
"河南中原高速公路股份有限公司"	"03130448"	"QKC20192019032800041373"	"2019"	"车辆特征识别技术在高速公路中的应用"
"万达信息股份有限公司"	"T000029069"	"QKC20192019032800098377"	"2019"	"基于大数据与物联网的智慧文物修复保护系统"
"高新兴科技集团股份有限公司"	"T000026751"	"QKC20192019032800103731"	"2019"	"基于物联网的环境监控系统设计与实现"
"江苏省广电有线信息网络股份有限公司"	"T000062808"	"QKC20192019032800117600"	"2019"	"大数据形势下的广播电视安全播出技术研究"
"深圳市天威视讯股份有限公司"	"03134722"	"QKC20192019032800137351"	"2019"	"广电智能推荐与大数据分析的运用探讨"
"江苏省广电有线信息网络股份有限公司"	"T000062808"	"QKC20192019032800138071"	"2019"	"基于MTU值设置不当导致传输网和数据网设备对接丢包问题的分析处理"
"上海新时达电气股份有限公司"	"T000028130"	"QKC20192019032800139573"	"2019"	"一种物联网电梯编码器系统设计"
"上海新时达电气股份有限公司"	"T000028130"	"QKC20192019032800141233"	"2019"	"一种触摸自调节的物联网显示屏远程求助系统"
"广东永顺生物制药股份有限公司"	"T000677442"	"QKC20192019040200002043"	"2019"	"家禽饲养场免疫失败原因分析及预防措施"
"山推工程机械股份有限公司"	"01000680"	"QKC20192019040200024047"	"2019"	"基于工业物联网的工程机械智能装配关键技术分析"
"中兴通讯股份有限公司"	"01000063"	"QKC20192019040200029438"	"2019"	"用他人商标作唤醒词的法律性质辨析"
"北京华录百纳影视股份有限公司"	"T000056044"	"QKC20192019040200034194"	"2019"	"大数据数字媒体时代网络爬虫技术下的精准招商"
"上海建工集团股份有限公司"	"02600170"	"QKC20192019040200047972"	"2019"	"数字化技术助力上海建工创新转型发展"
"海洋石油工程股份有限公司"	"03130085"	"QKC20192019040200079871"	"2019"	"称重系统现场控制站集成改造研究"
"宜通世纪科技股份有限公司"	"T000056285"	"QKC20192019040200080735"	"2019"	"物联网对人类生活与管理方式的影响"
"宜通世纪科技股份有限公司"	"T000056285"	"QKC20192019040200082881"	"2019"	"物联网技术在生活中的应用以及发展研究"
"中国石油化工股份有限公司"	"03130019"	"QKC20192019040200130753"	"2019"	"涪陵大型海相页岩气田成藏条件及高效勘探开发关键技术"
"中航飞机股份有限公司"	"01000768"	"QKC20192019040200153170"	"2019"	"疲劳试验数据在疲劳强度评估的应用研究"
"北京千方科技股份有限公司"	"T000026786"	"QKC20192019041100038331"	"2019"	"对抗样本在自动驾驶领域应用现状"
"上海振华重工(集团)股份有限公司"	"02900947"	"QKC20192019041100053059"	"2019"	"浅谈船舶钢板焊接新技术的发展现状"
"中国国际航空股份有限公司"	"03131987"	"QKC20192019041100085769"	"2019"	"论航空公司商业模式:面向""新零售""的价值链重构"
"杭州星帅尔电器股份有限公司"	"T000058631"	"QKC20192019041100087588"	"2019"	"数控加工中组合零件的模具设计与优化"
"牡丹江恒丰纸业股份有限公司"	"03129951"	"QKC20192019041900013161"	"2019"	"混合打浆与分别打浆在薄页印刷纸中的应用探讨"
"杭州海康威视数字技术股份有限公司"	"T000026753"	"QKC20192019041900014156"	"2019"	"基于深度学习算法的人证核验解决方案"
"上海富瀚微电子股份有限公司"	"T000239749"	"QKC20192019041900049704"	"2019"	"一种模拟高清摄像机高速长距离数据传输的方法"
"武汉华中数控股份有限公司"	"T000032777"	"QKC20192019041900051567"	"2019"	"基于FPGA的振动信号采集系统设计"
"深圳华大基因股份有限公司"	"T000152931"	"QKC20192019041900089798"	"2019"	"业财融合下管理会计职能转型"
"中兴通讯股份有限公司"	"01000063"	"QKC20192019041900105402"	"2019"	"人工智能平台在人脸识别中的应用"
"江苏张家港农村商业银行股份有限公司"	"T000035194"	"QKC20192019041900106309"	"2019"	"关于商业银行大数据应用的思考和探析"
"江苏张家港农村商业银行股份有限公司"	"T000035194"	"QKC20192019041900106321"	"2019"	"银行大数据挖掘、使用和管理的方法"
"京东方科技集团股份有限公司"	"01002725"	"QKC20192019041900133861"	"2019"	"从财务角度浅谈如何提升供应链运作效率"
"江西联创光电科技股份有限公司"	"03129987"	"QKC20192019041900136117"	"2019"	"微机电系统发展现状及关键技术分析"
"浙江闰土股份有限公司"	"03147683"	"QKC20192019041900147680"	"2019"	"化工三废处理及化工绿色环保发展方向探析"
"广州普邦园林股份有限公司"	"T000028055"	"QKC20192019041900163114"	"2019"	"环保酵素改良滨海盐碱性土壤的应用研究"
"贵州省广播电视信息网络股份有限公司"	"T000122551"	"QKC20192019041900163711"	"2019"	"智慧广电融合无限"
"广东永顺生物制药股份有限公司"	"T000677442"	"QKC20192019042500016384"	"2019"	"提高家禽免疫效果的方法"
"广东永顺生物制药股份有限公司"	"T000677442"	"QKC20192019042500022633"	"2019"	"断奶仔猪过渡期的饲养管理"
"国电南瑞科技股份有限公司"	"03130492"	"QKC20192019042500022921"	"2019"	"浅谈人工智能技术在电气自动化控制中的应用"
"吉林吉大通信设计院股份有限公司"	"T000186694"	"QKC20192019042500025871"	"2019"	"大数据在电信移动通信网络优化中的应用"
"北京国联视讯信息技术股份有限公司"	"T000200848"	"QKC20192019042500029089"	"2019"	"工业电子商务企业财务风险研究"
"江苏新美星包装机械股份有限公司"	"T000117963"	"QKC20192019042500029466"	"2019"	"新美星数字化饮料工厂方案"
"三维通信股份有限公司"	"03133283"	"QKC20192019042500087231"	"2019"	"推动信号管控产业化、助力信息网络安全"
"苏州晶瑞化学股份有限公司"	"T000281796"	"QKC20192019042500094869"	"2019"	"集成电路芯片湿法去层技术研究"
"安徽皖通高速公路股份有限公司"	"03129991"	"QKC20192019042500098177"	"2019"	"基于物联感知技术的高速公路机电设施设备精细化管理系统"
"福建龙净环保股份有限公司"	"03129946"	"QKC20192019042500101310"	"2019"	"触摸屏与PLC在火电厂粉煤灰气力输送系统的应用"
"康力电梯股份有限公司"	"T000026785"	"QKC20192019042500103083"	"2019"	"浅谈物联网技术在电梯维保管理中的应用"
"杭州中威电子股份有限公司"	"T000052453"	"QKC20192019042500108379"	"2019"	"浅析情感人工智能的发展趋势"
"佳都新太科技股份有限公司"	"02600728"	"QKC20192019042500125931"	"2019"	"打造多维动态大数据防控系统 以AI赋能智慧社区安防深度应用"
"杭州星帅尔电器股份有限公司"	"T000058631"	"QKC20192019043000017094"	"2019"	"物联网技术在智能家居中的应用现状与趋势探究"
"紫金矿业集团股份有限公司"	"03134633"	"QKC20192019043000023900"	"2019"	"基于RFID和软件工程的数字矿山信息平台分析与设计"
"浙江三花智能控制股份有限公司"	"03131130"	"QKC20192019043000028599"	"2019"	"大数据时代的业财融合探讨"
"福建漳州发展股份有限公司"	"01000753"	"QKC20192019043000042303"	"2019"	"大数据时代企业人力资源管理变革的思考"
"海洋石油工程股份有限公司"	"03130085"	"QKC20192019043000055324"	"2019"	"管段自动化跟踪系统的应用研究"
"北京久其软件股份有限公司"	"03132059"	"QKC20192019043000060632"	"2019"	"久其金建 建筑企业数字化专家!"
"天水华天科技股份有限公司"	"03134173"	"QKC20192019043000068831"	"2019"	"铜引线框架氧化对集成电路分层的影响浅析"
"广东永顺生物制药股份有限公司"	"T000677442"	"QKC20192019043000123654"	"2019"	"猪流行性腹泻病毒基因及疫苗的研究进展"
"杭州安恒信息技术股份有限公司"	"T001301651"	"QKC20192019043000142549"	"2019"	"云计算安全模型与架构研究"
"启明信息技术股份有限公司"	"03134691"	"QKC20192019043000143459"	"2019"	"策论车联网体系架构及关键技术"
"深南电路股份有限公司"	"T003080042"	"QKC20192019043000144984"	"2019"	"基于外形数控程序的PCB Mapping可视化分析"
"浙江大华技术股份有限公司"	"03134713"	"QKC20192019043000160580"	"2019"	"AI驱动下停车场出入口控制技术的发展现状"
"太极计算机股份有限公司"	"T000026778"	"QKC20192019043000173107"	"2019"	"大数据和云计算平台的应用情况的相关研究"
"浙江天正电气股份有限公司"	"Q0000F34E5"	"QKC20192019050800000646"	"2019"	"低压智能电器PCB电磁兼容设计准则"
"北京易华录信息技术股份有限公司"	"T000042989"	"QKC20192019050800001931"	"2019"	"交通拥堵智能监测的车联网环境构建"
"海洋石油工程股份有限公司"	"03130085"	"QKC20192019050800100036"	"2019"	"移动式陶瓷膜装置在海上平台三甘醇回收系统中的应用"
"河南易成新能源股份有限公司"	"T000027203"	"QKC20192019050800132953"	"2019"	"大数据时代下企业财务管理探究"
"广东永顺生物制药股份有限公司"	"T000677442"	"QKC20192019051600006653"	"2019"	"疫苗普免对养猪场的重要意义"
"北京久其软件股份有限公司"	"03132059"	"QKC20192019051600008129"	"2019"	"交通大数据应用之殇"
"中国汽车工程研究院股份有限公司"	"T000056581"	"QKC20192019051600028684"	"2019"	"探讨关于数字时代国企转型面临的机遇和挑战"
"烟台东诚药业集团股份有限公司"	"T000056583"	"QKC20192019051600031405"	"2019"	"关于企业集团财务共享模式的分析研究"
"沈阳机床股份有限公司"	"01000410"	"QKC20192019051600035002"	"2019"	"西门子840Dsl针对力矩电动机控制技术的应用"
"东华工程科技股份有限公司"	"03133790"	"QKC20192019051600036103"	"2019"	"流程行业的""智能化工厂""思考"
"上海张江高科技园区开发股份有限公司"	"02600895"	"QKC20192019051600050934"	"2019"	"集成电路设计产业园规划方法研究"
"宁波柯力传感科技股份有限公司"	"T003004992"	"QKC20192019051600057018"	"2019"	"论称重物联网再深入"
"东华工程科技股份有限公司"	"03133790"	"QKC20192019051600057360"	"2019"	"化工厂污水处理站水质在线分析仪表设计选型"
"威海光威复合材料股份有限公司"	"T000271183"	"QKC20192019051600059123"	"2019"	"高性能碳纤维/环氧树脂复合材料板的制备及其性能表征研究"
"海洋石油工程股份有限公司"	"03130085"	"QKC20192019051600060763"	"2019"	"新型摩擦技术在海洋石油平台防喷器转运设备上的应用"
"科大讯飞股份有限公司"	"03134688"	"QKC20192019051600063700"	"2019"	"科大讯飞:从语音到AI的前行之路"
"山东大正医疗器械股份有限公司"	"T000141574"	"QKC20192019051600094367"	"2019"	"中小企业全面预算管理的困境及对策探讨"
"三维通信股份有限公司"	"03133283"	"QKC20192019051600101534"	"2019"	"商业卫星物联网应用技术探讨"
"陕西广电网络传媒(集团)股份有限公司"	"02600831"	"QKC20192019051600103750"	"2019"	"光纤传输系统中存在的问题及对策"
"吉林吉大通信设计院股份有限公司"	"T000186694"	"QKC20192019051600105330"	"2019"	"司法大数据的现状、挑战及应用改进"
"西部超导材料科技股份有限公司"	"T000027183"	"QKC20192019051600111382"	"2019"	"凝壳炉用一体化整流变压器"
"海洋石油工程股份有限公司"	"03130085"	"QKC20192019051600118523"	"2019"	"电力通信技术在智能电网中的应用"
"中国武夷实业股份有限公司"	"01000797"	"QKC20192019051600140008"	"2019"	"循环经济与国际贸易可持续发展的战略措施"
"武汉理工光科股份有限公司"	"T000110802"	"QKC20192019052200000632"	"2019"	"云计算及物联网技术在智慧城市中的应用"
"浙江大华技术股份有限公司"	"03134713"	"QKC20192019052200001757"	"2019"	"人工智能助力警务革新"
"厦门盈趣科技股份有限公司"	"T000145840"	"QKC20192019052200010691"	"2019"	"OBD软件系统设计"
"浙江伟星新型建材股份有限公司"	"T000026771"	"QKC20192019052200011363"	"2019"	"大数据背景下企业管理模式创新"
"中信出版集团股份有限公司"	"T000189247"	"QKC20192019052200014416"	"2019"	"浅析数字化新媒体传播生态的IP打造与运营"
"广州普邦园林股份有限公司"	"T000028055"	"QKC20192019052200020476"	"2019"	"园林工程中创新技术、新材料的应用及项目管理探析-以深圳万科前海企业公馆园林景观建设工程为例"
"广西广播电视信息网络股份有限公司"	"T000085863"	"QKC20192019052200031292"	"2019"	"AI大数据在公安图像应用的实战化进程"
"北京东方园林环境股份有限公司"	"T000026089"	"QKC20192019052200046732"	"2019"	"彼得·卒姆托建筑创作中自然元素的引用初探"
"上海富瀚微电子股份有限公司"	"T000239749"	"QKC20192019052200061283"	"2019"	"一种无损高清视频编码的参考帧压缩方法"
"上海富瀚微电子股份有限公司"	"T000239749"	"QKC20192019052200067925"	"2019"	"电池供电低功耗无线网络摄像机的设计"
"岳阳兴长石化股份有限公司"	"01000819"	"QKC20192019052200086210"	"2019"	"互联网+大数据时代人力资源管理面临的机遇与挑战"
"河南易成新能源股份有限公司"	"T000027203"	"QKC20192019052200089605"	"2019"	"企业财务分析存在的问题及完善对策"
"宜通世纪科技股份有限公司"	"T000056285"	"QKC20192019052200098789"	"2019"	"通信领域大数据能力开放平台的研究与设计"
"国电南京自动化股份有限公司"	"02600268"	"QKC20192019052200103361"	"2019"	"基于大数据平台的火电机组实时运行状态监测"
"筑博设计股份有限公司"	"T000152620"	"QKC20192019052200104444"	"2019"	"基于城乡规划设计中的生态建筑设计探讨"
"齐峰新材料股份有限公司"	"T000028391"	"QKC20192019052200123448"	"2019"	"让世界装饰原纸进入中国时代"
"苏州科达科技股份有限公司"	"T000124546"	"QKC20192019052200132053"	"2019"	"AI加持下的移动警务发展变化与趋势"
"佳都新太科技股份有限公司"	"02600728"	"QKC20192019052200133098"	"2019"	"浅析物联网+安防在智慧社区建设中的深度应用"
"深圳能源集团股份有限公司"	"01000027"	"QKC20192019052200137607"	"2019"	"大数据审计的创新模式研究"
"澳柯玛股份有限公司"	"03129945"	"QKC20192019052200140891"	"2019"	"浅谈价值链成本管理-以传统制造业为例"
"科大讯飞股份有限公司"	"03134688"	"QKC20192019052200147328"	"2019"	"科大讯飞AI双创技术路线图"
"西安曲江文化旅游股份有限公司"	"02600706"	"QKC20192019052900008388"	"2019"	"核算会计向管理会计转型的研究"
"多氟多化工股份有限公司"	"T000026581"	"QKC20192019052900048872"	"2019"	"浅谈智能制造在氟化工行业的发展趋势"
"浙江新和成股份有限公司"	"03130754"	"QKC20192019052900099371"	"2019"	"大数据在企业税务风险管理中的运用"
"珠海格力电器股份有限公司"	"01000651"	"QKC20192019052900099720"	"2019"	"键合球脱现象的调查分析及质量管控"
"东软集团股份有限公司"	"02600718"	"QKC20192019052900108764"	"2019"	"大数据发展对管理会计带来的影响分析"
"海洋石油工程股份有限公司"	"03130085"	"QKC20192019052900109682"	"2019"	"物联网技术在企业信息化管理中的应用分析"
"海洋石油工程股份有限公司"	"03130085"	"QKC20192019060500008442"	"2019"	"海洋石油平台管道布置设计与研究"
"广西博世科环保科技股份有限公司"	"T000059619"	"QKC20192019060500031118"	"2019"	"城市黑臭水体的综合治理"
"中兴通讯股份有限公司"	"01000063"	"QKC20192019060500044524"	"2019"	"利用VREF Margin方法分析与解决DDR3参数最优化问题"
"陕西建设机械股份有限公司"	"03130779"	"QKC20192019060500047136"	"2019"	"STC7528平头塔机智能化技术的设计与应用"
"天水华天科技股份有限公司"	"03134173"	"QKC20192019060500050368"	"2019"	"浅析铜线键合铝垫裂纹的预防和改善"
"安徽全柴动力股份有限公司"	"02600218"	"QKC20192019060500060174"	"2019"	"人工智能技术在电气自动化控制中的应用思路探索"
"成都苑东生物制药股份有限公司"	"T000285546"	"QKC20192019060500074745"	"2019"	"内部审计在企业风险管控中的积极作用分析"
"陕西广电网络传媒(集团)股份有限公司"	"02600831"	"QKC20192019060500085663"	"2019"	"大数据背景下互联网用户行为分析"
"人民网股份有限公司"	"T000028053"	"QKC20192019060500117754"	"2019"	"浅议企业财务会计向管理会计转型的问题及对策"
"浙江大华技术股份有限公司"	"03134713"	"QKC20192019061200006632"	"2019"	"集成电路封装技术与低成本质量控制"
"安徽全柴动力股份有限公司"	"02600218"	"QKC20192019061200067022"	"2019"	"电气自动化在工业机械控制中的应用探讨"
"成都秦川物联网科技股份有限公司"	"Q001649BF8"	"QKC20192019061200070716"	"2019"	"NB-IoT通信技术在智能燃气表的应用"
"中兴通讯股份有限公司"	"01000063"	"QKC20192019061200092262"	"2019"	"基于FPGA的嵌入式图像处理系统设计"
"传化智联股份有限公司"	"03130771"	"QKC20192019061800001094"	"2019"	"膜前预处理技术在印染废水处理中的应用进展"
"吉林吉大通信设计院股份有限公司"	"T000186694"	"QKC20192019061800001111"	"2019"	"基于雾计算的物联网应用研究"
"北京万东医疗科技股份有限公司"	"02600055"	"QKC20192019061800003389"	"2019"	"医疗器械企业成本管理与改进"
"河南森源电气股份有限公司"	"00205296"	"QKC20192019061800010794"	"2019"	"智能装备制造,制造智能装备"
"中兴通讯股份有限公司"	"01000063"	"QKC20192019061800071720"	"2019"	"""互联网+政务服务""系统方案设计"
"浙江巨化股份有限公司"	"02600160"	"QKC20192019061800078572"	"2019"	"财务共享中心建设过程中的几点思考"
"安徽安凯汽车股份有限公司"	"01000868"	"QKC20192019062600006352"	"2019"	"""中国制造""无人驾驶客车首次驶入日本"
"武汉农尚环境股份有限公司"	"T000138986"	"QKC20192019062600023066"	"2019"	"探讨节能型技术在风景园林施工中的应用"
"上海富瀚微电子股份有限公司"	"T000239749"	"QKC20192019062600023866"	"2019"	"一种基于SDK的WiFi模块完全自动化的测试方法"
"宁波柯力传感科技股份有限公司"	"T003004992"	"QKC20192019062600026842"	"2019"	"物联网战略下投资发展思路"
"杭州华光焊接新材料股份有限公司"	"T000060152"	"QKC20192019062600031507"	"2019"	"基于大数据的中小型制造企业成本管理优化研究"
"上海新阳半导体材料股份有限公司"	"T000044687"	"QKC20192019062600054170"	"2019"	"芯片铜互连电镀添加剂浓度对镀层性能的影响"
"北方导航控制技术股份有限公司"	"03130418"	"QKC20192019062600054757"	"2019"	"大数据对中国制造业上市公司财务管理的影响"
"山西兰花科技创业股份有限公司"	"02600123"	"QKC20192019062600057586"	"2019"	"煤矿安全生产标准化建设的必要性及其日常管理探讨"
"山西焦化股份有限公司"	"02600740"	"QKC20192019062600075145"	"2019"	"废水调节池废气异味治理技术的应用"
"江苏省广电有线信息网络股份有限公司"	"T000062808"	"QKC20192019062600082652"	"2019"	"刍议大数据背景下企业财务管理模式的创新"
"浙江大华技术股份有限公司"	"03134713"	"QKC20192019062600085432"	"2019"	"大华助力广汽新能源打造数字化园区"
"国电南瑞科技股份有限公司"	"03130492"	"QKC20192019062600099499"	"2019"	"基于物联网和光纤环网的光伏电站集成监控系统方案"
"杭州海康威视数字技术股份有限公司"	"T000026753"	"QKC20192019062600101530"	"2019"	"AI理性价值的智能普及-以智能安防监控为例"
"重庆新大正物业集团股份有限公司"	"T000810694"	"QKC20192019062600122559"	"2019"	"大数据背景下企业人力资源管理发展思路探讨"
"华纺股份有限公司"	"03130027"	"QKC20192019070800014979"	"2019"	"智造感言"
"中国科技出版传媒股份有限公司"	"T000062927"	"QKC20192019070800017664"	"2019"	"浅谈编辑数字化转型的必要性及路径"
"武汉华中数控股份有限公司"	"T000032777"	"QKC20192019070800049163"	"2019"	"基于LVDS的通信系统设计"
"贵州航天电器股份有限公司"	"03130800"	"QKC20192019070800049778"	"2019"	"QTT65摆头铣削技术研究"
"新疆金风科技股份有限公司"	"03134303"	"QKC20192019070800055647"	"2019"	"工业互联网方向赛题一 赛题名称:海上风场SCADA数据缺失智能修复"
"上海建工集团股份有限公司"	"02600170"	"QKC20192019070800055749"	"2019"	"基于Python的科技情报智能化识别检索系统的研究与设计"
"广联达科技股份有限公司"	"T000026577"	"QKC20192019070800060052"	"2019"	"人工智能方向赛题一 赛题名称:智能盘点-钢筋数量AI识别"
"株洲时代新材料科技股份有限公司"	"03130221"	"QKC20192019070800061513"	"2019"	"企业转型背景下的管理模式创新与干部管理对策研究"
"西部超导材料科技股份有限公司"	"T000027183"	"QKC20192019070800071627"	"2019"	"30 t操作机吊挂部分前转架断裂的解决办法"
"天津赛象科技股份有限公司"	"T000026244"	"QKC20192019070800075111"	"2019"	"浅谈橡塑机械设备远程维护"
"马应龙药业集团股份有限公司"	"03130716"	"QKC20192019070800081410"	"2019"	"大数据背景下企业内部审计创新策略"
"上海振华重工(集团)股份有限公司"	"02900947"	"QKC20192019070800085876"	"2019"	"新形势下港机行业海外市场特点和经营策略分析"
"苏州科达科技股份有限公司"	"T000124546"	"QKC20192019070800094725"	"2019"	"安防行业云存储技术的新发展与应用前景"
"广州普邦园林股份有限公司"	"T000028055"	"QKC20192019070800099402"	"2019"	"当设计遇上AI-关于未来景观设计的思考"
"佳都新太科技股份有限公司"	"02600728"	"QKC20192019070800112376"	"2019"	"AI赋能视频大数据下数字城市的应用研究"
"石家庄科林电气股份有限公司"	"T000062800"	"QKC20192019071000016005"	"2019"	"智慧园区能源物联网发展模式"
"广西柳工机械股份有限公司"	"01000528"	"QKC20192019071000030081"	"2019"	"惯性传感器在挖掘机智能控制系统上的应用"
"上海天永智能装备股份有限公司"	"T000544618"	"QKC20192019071000032779"	"2019"	"机械设计制造及其自动化的特点与优势及发展趋势研究"
"深圳达实智能股份有限公司"	"T000026683"	"QKC20192019071000047768"	"2019"	"达实大厦:移动互联网下的智慧建筑"
"中兴通讯股份有限公司"	"01000063"	"QKC20192019071000053815"	"2019"	"助力5G边缘计算变革 巨通量基础设施首当其冲"
"中兴通讯股份有限公司"	"01000063"	"QKC20192019071000055598"	"2019"	"一种基于SDN的物联网数据聚合方案"
"山东新华医疗器械股份有限公司"	"03130186"	"QKC20192019071000070868"	"2019"	"浅谈集团公司资金集中管理存在的问题及应对措施"
