"name"	"apply_numb"	"notice_date"	"name"
"江西洪达医疗器械集团有限公司"	"CN201010123045.X"	"2010.08.04"	"一种安全无气泡输液器"
"鸿富锦精密工业(深圳)有限公司"	"CN200910109128.0"	"2011.02.02"	"透射电镜微栅及其制备方法"
"江西洪达医疗器械集团有限公司"	"CN201010293593.7"	"2011.01.26"	"一种自动排气防回血输液器"
"江西洪达医疗器械集团有限公司"	"CN201020526704.X"	"2011.04.06"	"一种带防泄漏保护套的一次性使用输液器"
"美昕医疗器械(昆山)有限公司"	"CN200910158148.7"	"2011.01.26"	"安全型静脉输液针"
"上海晟实医疗器械科技有限公司"	"CN201020126648.0"	"2011.03.02"	"一种用于全髋关节翻修术的髋臼重建支架"
"江西洪达医疗器械集团有限公司"	"CN201020526717.7"	"2011.04.06"	"一种带无针正压接头的静脉留置针"
"沈阳沈大内窥镜有限公司"	"CN201020527606.8"	"2011.03.30"	"激光手术内窥镜"
"江西洪达医疗器械集团有限公司"	"CN201020526713.9"	"2011.03.30"	"一种自动定量分装吊瓶式输液器"
"江西洪达医疗器械集团有限公司"	"CN201020544251.3"	"2011.04.27"	"一种自动排气防回血输液器"
"鸿富锦精密工业(深圳)有限公司"	"CN200910108864.4"	"2011.03.23"	"透射电镜试样制备方法"
"江西洪达医疗器械集团有限公司"	"CN201020526728.5"	"2011.06.08"	"一种自动排气止液输液器"
"江西洪达医疗器械集团有限公司"	"CN201020678964.9"	"2011.06.29"	"一种自动排气止液精密输液器"
"美昕医疗器械(昆山)有限公司"	"CN201020664784.5"	"2011.08.03"	"防回流预灌装注射器"
"江西洪达医疗器械集团有限公司"	"CN201020643126.8"	"2011.08.17"	"一种无气泡防回血输液器"
"江苏创英医疗器械有限公司"	"CN201010164633.8"	"2011.11.09"	"牙种植体表面处理工艺"
"中国移动通信集团广东有限公司"	"CN201020698603.0"	"2011.12.07"	"一种数码终端和物联网交易系统"
"安徽省巢湖市弘慈医疗器械有限公司"	"CN201110103104.1"	"2011.12.21"	"巴氏染色液及其快速染色方法"
"沈阳沈大内窥镜有限公司"	"CN201020678311.0"	"2012.02.15"	"两点导航立体定向设备"
"江西洪达医疗器械集团有限公司"	"CN201120143950.1"	"2012.01.11"	"一种自排气输液器"
"江西洪达医疗器械集团有限公司"	"CN201120143941.2"	"2012.01.11"	"一种带有透气组件的输液针"
"深圳创维-RGB电子有限公司"	"CN201210061757.2"	"2012.07.25"	"一种高度集成的低功耗基准源"
"常州市康迪医用吻合器有限公司"	"CN201210091043.6"	"2012.07.18"	"具有E形导向件的直线型切割元件"
"常州市康迪医用吻合器有限公司"	"CN201210091071.8"	"2012.07.25"	"具有双保险机构的直线型切割吻合器"
"中国移动通信集团广东有限公司"	"CN201010602279.2"	"2012.07.04"	"用于采集终端的数据传输方法和装置"
"中国移动通信集团广东有限公司"	"CN201010602311.7"	"2012.07.04"	"射频识别数据传输的方法、系统及RFID标签的硬件平台"
"深圳创维-RGB电子有限公司"	"CN201210022540.0"	"2012.07.18"	"一种低压差线性稳压器及芯片"
"江西洪达医疗器械集团有限公司"	"CN201120476120.0"	"2012.08.08"	"一种多层复合型避光输液器"
"上海晟实医疗器械科技有限公司"	"CN201210125856.2"	"2012.08.01"	"一种半骨盆假体"
"江西洪达医疗器械集团有限公司"	"CN201120476097.5"	"2012.08.01"	"一种自排气多层复合型避光输液器"
"苏州苏南捷迈得医疗器械有限公司"	"CN201220021356.X"	"2012.09.19"	"挤压固定形式金属锁定接骨板"
"上海晟实医疗器械科技有限公司"	"CN201210187026.2"	"2012.09.26"	"一种适用于截除全部髂骨髋臼患者使用的半骨盆假体"
"北京天地和协科技有限公司"	"CN201120574910.2"	"2012.10.03"	"用于外周静脉置入中心静脉导管预冲洗的连接装置"
"北京天地和协科技有限公司"	"CN201120575079.2"	"2012.10.03"	"一种引流装置"
"上海晟实医疗器械科技有限公司"	"CN201210165942.6"	"2012.10.03"	"用于半骨盆假体的带自锁钉孔和支托平台的髂骨固定件"
"常州市康迪医用吻合器有限公司"	"CN201220130145.X"	"2012.11.14"	"具有E形导向件的直线型切割元件"
"天津康丽医疗器械有限公司"	"CN201220147654.3"	"2012.11.14"	"一种液压运送推床"
"天津康丽医疗器械有限公司"	"CN201220147655.8"	"2012.11.14"	"一种可两用的诊察床"
"天津康丽医疗器械有限公司"	"CN201220147681.0"	"2012.11.14"	"一种牵引床"
"天津康丽医疗器械有限公司"	"CN201220158477.9"	"2012.11.14"	"双摇病床"
"天津康丽医疗器械有限公司"	"CN201220158479.8"	"2012.11.14"	"一种可调式输液椅"
"天津康丽医疗器械有限公司"	"CN201220158499.5"	"2012.11.14"	"一种ABS床头双摇床"
"湖南明康中锦医疗科技发展有限公司"	"CN201230140402.3"	"2012.11.28"	"无创呼吸机"
"上海晟实医疗器械科技有限公司"	"CN201210306152.5"	"2013.01.02"	"一种用于人体长骨骨干部位的节段性假体"
"常州市康迪医用吻合器有限公司"	"CN201220130178.4"	"2012.12.19"	"具有双保险机构的直线型切割吻合器"
"上海晟实医疗器械科技有限公司"	"CN201220143900.8"	"2012.12.12"	"一种用于光洁度加工的髋关节股骨柄假体专用夹具"
"上海晟实医疗器械科技有限公司"	"CN201220143907.X"	"2013.01.02"	"一种用于髋关节股骨柄假体锥度加工的夹具"
"天津康丽医疗器械有限公司"	"CN201220161756.0"	"2012.12.26"	"一种可调式医用婴儿车"
"江西洪达医疗器械集团有限公司"	"CN201220172265.6"	"2012.12.19"	"自动排气止液输液器"
"江西洪达医疗器械集团有限公司"	"CN201220172268.X"	"2012.12.19"	"可视回血双向采血针"
"上海晟实医疗器械科技有限公司"	"CN201220182784.0"	"2013.01.09"	"一种半骨盆假体"
"江苏创英医疗器械有限公司"	"CN201220233777.9"	"2013.01.02"	"截骨刀头"
"江苏创英医疗器械有限公司"	"CN201220233827.3"	"2013.01.02"	"一种种植牙外科用工具盒"
"江苏创英医疗器械有限公司"	"CN201220233828.8"	"2013.01.02"	"一种医用刮勺"
"江苏创英医疗器械有限公司"	"CN201220233887.5"	"2013.01.02"	"一种牙周刀柄"
"江苏创英医疗器械有限公司"	"CN201220233888.X"	"2013.01.02"	"一种牙周刀"
"江苏创英医疗器械有限公司"	"CN201220233889.4"	"2013.01.02"	"一种牙种植体"
"江苏创英医疗器械有限公司"	"CN201220233890.7"	"2013.01.02"	"一种双头雕蜡刀"
"江苏创英医疗器械有限公司"	"CN201220234031.X"	"2013.01.02"	"一种手术刀柄"
"江苏创英医疗器械有限公司"	"CN201220234510.1"	"2013.01.02"	"一种骨挤压器"
"上海晟实医疗器械科技有限公司"	"CN201220239598.6"	"2013.01.09"	"用于半骨盆假体的带自锁钉孔和支托平台的髂骨固定件"
"江苏创英医疗器械有限公司"	"CN201220233780.0"	"2013.01.30"	"医用限深钻头"
"江苏创英医疗器械有限公司"	"CN201220234616.1"	"2013.01.30"	"手术刀柄"
"江苏创英医疗器械有限公司"	"CN201220234574.1"	"2013.01.30"	"手术刀片"
"江苏创英医疗器械有限公司"	"CN201220233886.0"	"2013.01.30"	"一种牙周刀头"
"江苏创英医疗器械有限公司"	"CN201220233826.9"	"2013.01.30"	"一种医用吸管"
"天津康丽医疗器械有限公司"	"CN201220158476.4"	"2013.02.20"	"床头、床尾双升降医用病床"
"江苏创英医疗器械有限公司"	"CN201220234033.9"	"2013.01.30"	"一种骨皮质刮取器"
"江苏创英医疗器械有限公司"	"CN201220233830.5"	"2013.01.30"	"一种医疗器械用手柄"
"江苏创英医疗器械有限公司"	"CN201220233668.7"	"2013.01.30"	"一种机用工具连接器"
"天津康丽医疗器械有限公司"	"CN201220161757.5"	"2013.01.30"	"一种彩钢病历车"
"江西洪达医疗器械集团有限公司"	"CN201220288270.3"	"2013.01.30"	"防针刺型静脉留置针"
"上海晟实医疗器械科技有限公司"	"CN201220268118.9"	"2013.01.16"	"一种适用于截除全部髂骨髋臼患者使用的半骨盆假体"
"江苏创英医疗器械有限公司"	"CN201220234032.4"	"2013.01.16"	"一种棘轮扳手"
"常州市康迪医用吻合器有限公司"	"CN201220499877.6"	"2013.03.27"	"带反射镜的检查镜"
"上海晟实医疗器械科技有限公司"	"CN201220425837.7"	"2013.03.20"	"一种用于人体长骨骨干部位的节段性假体"
"沈阳沈大内窥镜有限公司"	"CN201220456816.1"	"2013.04.03"	"带有内窥镜的腹腔穿刺装置"
"天津康丽医疗器械有限公司"	"CN201220161735.9"	"2013.05.01"	"一种床头单摇床"
"江苏创英医疗器械有限公司"	"CN201220233779.8"	"2013.05.08"	"种植体包装瓶"
"江苏安格尔医疗器械有限公司"	"CN201220699552.2"	"2013.05.22"	"一种股骨髁支持钢板"
"江苏安格尔医疗器械有限公司"	"CN201220698938.1"	"2013.05.22"	"一种配合颈椎前路钢板用螺钉"
"江苏安格尔医疗器械有限公司"	"CN201220699108.0"	"2013.05.22"	"一种骨盆钢板"
"江苏安格尔医疗器械有限公司"	"CN201220699312.2"	"2013.05.22"	"一种肩锁钩锁定板"
"江苏安格尔医疗器械有限公司"	"CN201220699442.6"	"2013.05.22"	"一种T形钢板"
"江苏安格尔医疗器械有限公司"	"CN201220699474.6"	"2013.05.22"	"一种腓骨远端钢板"
"江苏安格尔医疗器械有限公司"	"CN201220713557.6"	"2013.05.22"	"一种多头螺纹U形钉"
"上海晟实医疗器械科技有限公司"	"CN201310010073.4"	"2013.05.01"	"人工膝关节股骨"
"江苏美时医疗技术有限公司"	"CN201310031468.2"	"2013.05.15"	"一种液氮制冷的磁共振成像系统"
"江苏安格尔医疗器械有限公司"	"CN201220699475.0"	"2013.06.12"	"一种胫骨远端钢板"
"江苏安格尔医疗器械有限公司"	"CN201220699476.5"	"2013.06.12"	"一种股骨近端髁钢板"
"江苏安格尔医疗器械有限公司"	"CN201220699501.X"	"2013.06.12"	"一种锁骨钢板"
"江苏安格尔医疗器械有限公司"	"CN201220713476.6"	"2013.06.12"	"一种金属中空螺钉"
"江西洪达医疗器械集团有限公司"	"CN201220737725.5"	"2013.06.12"	"一种低阻力注射器"
"深圳市信立泰生物医疗工程有限公司"	"CN201310056527.1"	"2013.06.26"	"一种可显影的完全可降解支架及其制备方法"
"江苏创英医疗器械有限公司"	"CN201320021947.1"	"2013.07.24"	"一种愈合帽"
"江苏创英医疗器械有限公司"	"CN201320021950.3"	"2013.07.24"	"一种机动起子"
"江苏创英医疗器械有限公司"	"CN201320021965.X"	"2013.07.24"	"一种牙种植体"
"江苏创英医疗器械有限公司"	"CN201320022646.0"	"2013.07.24"	"一种基台"
"江苏创英医疗器械有限公司"	"CN201320022656.4"	"2013.07.24"	"一种麻花钻"
"江苏创英医疗器械有限公司"	"CN201320023200.X"	"2013.07.24"	"一种转接头"
"北京航天凯恩化工科技有限公司"	"CN201310119709.9"	"2013.07.17"	"一种石墨烯改性的阻燃聚丙烯材料及其制备方法"
"苏州苏南捷迈得医疗器械有限公司"	"CN201210014385.8"	"2013.07.24"	"一种金属接骨板制作方法"
"美昕医疗器械(上海)有限公司"	"CN201210019406.5"	"2013.07.24"	"单向正压阀"
"美昕医疗器械(上海)有限公司"	"CN201210019406.5"	"2013.07.24"	"单向正压阀"
"上海晟实医疗器械科技有限公司"	"CN201320014218.3"	"2013.07.17"	"人工膝关节股骨"
"江苏创英医疗器械有限公司"	"CN201320021688.2"	"2013.07.24"	"一种基台取出器"
"江苏创英医疗器械有限公司"	"CN201320021944.8"	"2013.07.24"	"一种手动起子"
"江苏安格尔医疗器械有限公司"	"CN201220699638.5"	"2013.07.24"	"一种肱骨颈接骨板"
"医科达(上海)医疗器械有限公司"	"CN201330105987.X"	"2013.07.10"	"控制台(图像引导放疗)"
"江苏创英医疗器械有限公司"	"CN201220233778.3"	"2013.07.17"	"瓷基台接口部件"
"医科达(上海)医疗器械有限公司"	"CN201320175989.0"	"2013.08.28"	"图像引导放射治疗控制台"
"江苏美时医疗技术有限公司"	"CN201320045106.4"	"2013.08.21"	"一种液氮制冷的磁共振成像系统"
"常州同创医疗器械科技有限公司"	"CN201330094613.2"	"2013.08.14"	"活检钳"
"西安一体医疗科技有限公司"	"CN201310206248.9"	"2013.09.04"	"一种放射性射线聚焦调节装置"
"黑龙江元正医疗科技有限公司"	"CN201310260013.8"	"2013.09.11"	"一次性酒精棉签及其配套使用的设有出签机构的棉签盒"
"常州同创医疗器械科技有限公司"	"CN201320157018.3"	"2013.10.16"	"一种具有复位机构的一次性使用活检钳"
"常州同创医疗器械科技有限公司"	"CN201320157019.8"	"2013.10.16"	"一种具有螺旋推进机构的切割吻合器"
"常州同创医疗器械科技有限公司"	"CN201320157113.3"	"2013.10.16"	"一种具有补偿机构的直线吻合器"
"北京航天凯恩化工科技有限公司"	"CN201310309219.5"	"2013.11.13"	"一种改性阻燃ABS树脂及其制备方法"
"常州同创医疗器械科技有限公司"	"CN201320275943.6"	"2013.11.27"	"一种一次性使用的指推式皮肤吻合器"
"常州同创医疗器械科技有限公司"	"CN201320268639.9"	"2013.11.27"	"一种具有刻度指示的直线吻合器"
"常州同创医疗器械科技有限公司"	"CN201320274622.4"	"2013.11.27"	"一种具有爪形锁紧装置的吻合器尾部调节机构"
"上海晟实医疗器械科技有限公司"	"CN201310332823.X"	"2013.11.13"	"非对称结构的膝关节胫骨托"
"黑龙江元正医疗科技有限公司"	"CN201320372586.5"	"2013.11.27"	"一次性酒精棉签"
"黑龙江元正医疗科技有限公司"	"CN201320372574.2"	"2013.11.27"	"设有槽轮式出签机构的棉签盒"
"黑龙江元正医疗科技有限公司"	"CN201320372575.7"	"2013.11.27"	"设有滑块式出签机构的棉签盒"
"江苏创英医疗器械有限公司"	"CN201320113144.9"	"2013.11.27"	"一种印模帽"
"江西洪达医疗器械集团有限公司"	"CN201310342481.X"	"2013.11.13"	"安全型注射器"
"北京航天凯恩化工科技有限公司"	"CN201310308938.5"	"2013.11.13"	"一种石墨烯改性的阻燃聚丙烯材料及其制备方法"
"深圳市富力达工业有限公司"	"CN201320446942.3"	"2013.12.11"	"一种导电铜板盒"
"深圳市信立泰生物医疗工程有限公司"	"CN201310364612.4"	"2013.12.25"	"一种球囊扩张导管"
"江苏创英医疗器械有限公司"	"CN201320318248.3"	"2013.12.25"	"一种拔牙组件"
"江苏创英医疗器械有限公司"	"CN201210166610.X"	"2013.12.18"	"具有多级微坑结构生物活性金属钛植入物表面处理工艺"
"天津康丽医疗器械有限公司"	"CN201320488944.9"	"2014.02.12"	"一种牵引床"
"天津康丽医疗器械有限公司"	"CN201320488945.3"	"2014.02.12"	"一种牵引床垫"
"天津康丽医疗器械有限公司"	"CN201320488952.3"	"2014.02.12"	"一种带提手的病床"
"天津康丽医疗器械有限公司"	"CN201320489018.3"	"2014.02.12"	"病床"
"天津康丽医疗器械有限公司"	"CN201320488951.9"	"2014.02.12"	"一种弧形床板病床"
"天津康丽医疗器械有限公司"	"CN201320489016.4"	"2014.02.12"	"一种新型病床"
"上海晟实医疗器械科技有限公司"	"CN201320468609.2"	"2014.02.26"	"非对称结构的膝关节胫骨托"
"江苏创英医疗器械有限公司"	"CN201320320199.7"	"2014.03.12"	"一种电磁刺激牙科植入装置"
"天津康丽医疗器械有限公司"	"CN201320489002.2"	"2014.05.21"	"一种可调节医用移动餐桌"
"江苏创英医疗器械有限公司"	"CN201210429186.3"	"2014.05.14"	"瓷基台接口部件"
"江西洪达医疗器械集团有限公司"	"CN201320481643.3"	"2014.04.02"	"安全型注射器"
"天津康丽医疗器械有限公司"	"CN201320489017.9"	"2014.05.21"	"一种病床"
"天津康丽医疗器械有限公司"	"CN201320489005.6"	"2014.05.21"	"一种儿童病床"
"天津康丽医疗器械有限公司"	"CN201320488943.4"	"2014.05.21"	"一种医用折叠污衣车"
"江苏创英医疗器械有限公司"	"CN201210427458.6"	"2014.05.14"	"一种骨挤压器"
"江苏创英医疗器械有限公司"	"CN201320531825.7"	"2014.03.12"	"一种可提升窦下膜的牙种植体"
"江苏创英医疗器械有限公司"	"CN201320764351.0"	"2014.06.11"	"一种刮骨器"
"江苏创英医疗器械有限公司"	"CN201320831044.X"	"2014.06.11"	"一种打印种植体"
"江苏创英医疗器械有限公司"	"CN201320765996.6"	"2014.06.11"	"一种器械盒"
"浙江硅萃影像科技有限责任公司"	"CN201420012455.0"	"2014.06.25"	"折叠式X光检测装置"
"江苏安格尔医疗器械有限公司"	"CN201210560829.8"	"2014.06.25"	"一种多头螺纹U形钉"
"江苏安格尔医疗器械有限公司"	"CN201210561142.6"	"2014.06.25"	"一种金属中空螺钉"
"江苏创英医疗器械有限公司"	"CN201320765997.0"	"2014.06.11"	"一种石膏模型吸塑盒"
"江苏中惠医疗科技股份有限公司"	"CN201410214011.X"	"2014.07.30"	"一种CT限束器"
"江苏雷奥生物科技有限公司"	"CN201430034786.X"	"2014.07.09"	"医疗设备工作台"
"中国移动通信集团广东有限公司"	"CN201210593779.3"	"2014.07.09"	"第一移动通信终端及通信方法、物联网系统"
"江苏创英医疗器械有限公司"	"CN201320816741.8"	"2014.07.16"	"一种表面多孔生物活性种植体"
"深圳市慧康精密仪器有限公司"	"CN201410187077.4"	"2014.08.27"	"一种有碎石功能的排石装置"
"江西洪达医疗器械集团有限公司"	"CN201420141205.7"	"2014.09.24"	"一种防止凝血功能的预充式导管冲洗器"
"江西洪达医疗器械集团有限公司"	"CN201420125803.5"	"2014.09.24"	"一种易进气瓶塞穿刺器"
"北京思瑞德医疗器械有限公司"	"CN201420161685.3"	"2014.09.10"	"安全阀"
"北京思瑞德医疗器械有限公司"	"CN201420160944.0"	"2014.09.10"	"一种带有呼气端集水杯的麻醉呼吸回路"
"北京思瑞德医疗器械有限公司"	"CN201420161681.5"	"2014.09.10"	"一种多口径可变孔径流量探头"
"江西洪达医疗器械集团有限公司"	"CN201420128800.7"	"2014.09.24"	"一种带有透气孔的医疗器械产品包装盒"
"鸿纳(东莞)新材料科技有限公司"	"CN201410422381.2"	"2014.11.26"	"一种导电导热石墨烯浆料以及涂料"
"江西洪达医疗器械集团有限公司"	"CN201420324458.8"	"2014.11.05"	"一种大便失禁引流装置"
"江西洪达医疗器械集团有限公司"	"CN201420324457.3"	"2014.11.05"	"一种带正压防逆流装置的静脉留置针"
"河北万瑞医疗器械有限公司"	"CN201430203845.1"	"2015.01.21"	"电动床(家居式三功能电动)"
"江苏雷奥生物科技有限公司"	"CN201420579964.1"	"2015.01.14"	"一种辅助医疗器械装置"
"西藏德康医疗器械有限公司"	"CN201420515210.X"	"2015.01.21"	"一种微创矫形器械"
"江苏安格尔医疗器械有限公司"	"CN201420635714.5"	"2015.01.21"	"一种环抱型金属接骨板"
"西藏德康医疗器械有限公司"	"CN201420515209.7"	"2015.01.07"	"一种髋臼导板"
"鸿纳(东莞)新材料科技有限公司"	"CN201410421879.7"	"2015.01.07"	"一种导电导热石墨复合线材及其制备方法"
"江苏安格尔医疗器械有限公司"	"CN201410593822.5"	"2015.01.21"	"一种环抱型金属接骨板"
"苏州苏南捷迈得医疗器械有限公司"	"CN201420381738.2"	"2015.01.14"	"一种快装锁定无间隙手柄"
"鸿纳(东莞)新材料科技有限公司"	"CN201410421603.9"	"2014.12.10"	"一种石墨烯涂料、制备方法及其施涂方法"
"小米科技有限责任公司"	"CN201410364960.6"	"2014.12.03"	"物联网的联网方法、装置、路由器、以及第三方设备"
"苏州苏南捷迈得医疗器械有限公司"	"CN201420381732.5"	"2014.12.10"	"一种折断式别针"
"苏州苏南捷迈得医疗器械有限公司"	"CN201420381789.5"	"2014.12.10"	"一种带定向骨水泥侧孔负角度脊柱空心钉"
"苏州苏南捷迈得医疗器械有限公司"	"CN201420381998.X"	"2014.12.10"	"一种动态加压双头空心钉"
"苏州苏南捷迈得医疗器械有限公司"	"CN201420382103.4"	"2014.12.10"	"一种不等径距空心加压螺钉"
"江苏创英医疗器械有限公司"	"CN201310222010.5"	"2014.12.17"	"一种电磁刺激牙科植入装置"
"苏州苏南捷迈得医疗器械有限公司"	"CN201420381665.7"	"2014.12.10"	"一种桡骨远端锥形花孔锁定板"
"苏州苏南捷迈得医疗器械有限公司"	"CN201420382039.X"	"2014.12.10"	"一种带螺钉孔的爪型肋骨板"
"苏州苏南捷迈得医疗器械有限公司"	"CN201420382040.2"	"2014.12.10"	"一种带定位销的万向锁定接骨板"
"天津康丽医疗器械有限公司"	"CN201420487194.8"	"2015.02.18"	"一种箱式组合垫护理床"
"天津康丽医疗器械有限公司"	"CN201420489198.X"	"2015.02.18"	"一种可拆卸箱式护理床"
"天津康丽医疗器械有限公司"	"CN201420489214.5"	"2015.02.18"	"一种儿童电动床"
"天津康丽医疗器械有限公司"	"CN201420489410.2"	"2015.02.18"	"一种不锈钢麻醉车"
"天津康丽医疗器械有限公司"	"CN201420488229.X"	"2015.02.18"	"一种多功能电动医疗床"
"天津康丽医疗器械有限公司"	"CN201420489192.2"	"2015.02.18"	"一种ICU电动床"
"天津康丽医疗器械有限公司"	"CN201420489466.8"	"2015.02.18"	"一种床头双摇老年护理床"
"天津康丽医疗器械有限公司"	"CN201420487465.X"	"2015.02.18"	"一种升降可调多层对接车"
"天津康丽医疗器械有限公司"	"CN201420489197.5"	"2015.02.18"	"一种升降可调双层对接车"
"天津康丽医疗器械有限公司"	"CN201420487464.5"	"2015.02.18"	"一种不锈钢输液车"
"天津康丽医疗器械有限公司"	"CN201420489015.4"	"2015.02.18"	"一种输液车"
"天津康丽医疗器械有限公司"	"CN201420489196.0"	"2015.02.18"	"一种病例车"
"天津康丽医疗器械有限公司"	"CN201420487463.0"	"2015.02.18"	"一种西药架"
"江苏安格尔医疗器械有限公司"	"CN201410705873.2"	"2015.02.25"	"一种金属锁定型跟骨接骨板"
"天津康丽医疗器械有限公司"	"CN201310348278.3"	"2015.02.25"	"一种新型病床"
"天津康丽医疗器械有限公司"	"CN201310348250.X"	"2015.02.25"	"一种可拆卸骨科分腿床垫"
"天津康丽医疗器械有限公司"	"CN201420487193.3"	"2015.02.18"	"一种旋转圆盘西药架"
"天津康丽医疗器械有限公司"	"CN201420487537.0"	"2015.02.18"	"一种防潮组合式中药柜"
"天津康丽医疗器械有限公司"	"CN201420487192.9"	"2015.02.18"	"一种钢塑床头柜"
"天津康丽医疗器械有限公司"	"CN201420487462.6"	"2015.02.18"	"一种医用床头柜"
"广西巨星医疗器械有限公司"	"CN201420651786.9"	"2015.02.25"	"一种X射线胶片输片装置"
"广西巨星医疗器械有限公司"	"CN201420651745.X"	"2015.02.11"	"临床医用X光胶片盒"
"天津康丽医疗器械有限公司"	"CN201420487461.1"	"2015.02.18"	"一种移动餐桌"
