"机构名称(中文)"	"机构ID"	"apply_numb"	"notice_date"
"江苏长电科技股份有限公司"	"03130393"	"CN200410066095.3"	"2005.07.06"
"江苏长电科技股份有限公司"	"03130393"	"CN200420054485.4"	"2006.02.15"
"浪潮电子信息产业股份有限公司"	"01000977"	"CN200410075547.4"	"2005.07.27"
"上海贝岭股份有限公司"	"02600171"	"CN200410099042.1"	"2006.07.05"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200510042350.5"	"2006.07.26"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520080233.3"	"2006.03.08"
"江苏长电科技股份有限公司"	"03130393"	"CN200520070604.X"	"2006.09.06"
"江苏长电科技股份有限公司"	"03130393"	"CN200510038818.3"	"2005.11.30"
"比亚迪股份有限公司"	"T000001787"	"CN200520057626.2"	"2006.06.21"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200530092293.2"	"2006.02.15"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200530092294.7"	"2006.02.15"
"江苏长电科技股份有限公司"	"03130393"	"CN200520071844.1"	"2006.08.09"
"江苏长电科技股份有限公司"	"03130393"	"CN200510040261.7"	"2006.01.25"
"江苏长电科技股份有限公司"	"03130393"	"CN200510040262.1"	"2006.02.01"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520083613.2"	"2006.08.09"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520083615.1"	"2006.07.26"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520083616.6"	"2006.07.12"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520083619.X"	"2006.07.12"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520083697.X"	"2006.07.26"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520083698.4"	"2006.07.26"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200510043699.0"	"2006.01.25"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520083917.9"	"2006.08.09"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520083912.6"	"2006.08.09"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520083914.5"	"2006.07.12"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200510043702.9"	"2005.11.30"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200530092518.4"	"2007.02.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200530092519.9"	"2006.03.22"
"天水华天科技股份有限公司"	"03134173"	"CN200510042688.0"	"2006.12.06"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520083932.3"	"2006.07.26"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520084288.1"	"2006.08.09"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520084289.6"	"2006.09.20"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520084290.9"	"2006.09.20"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520084291.3"	"2006.07.26"
"中兴通讯股份有限公司"	"01000063"	"CN200510075373.6"	"2006.12.20"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200530092773.9"	"2006.04.05"
"天水华天科技股份有限公司"	"03134173"	"CN200520078943.2"	"2007.01.03"
"比亚迪股份有限公司"	"T000001787"	"CN200520034724.4"	"2006.09.06"
"江苏长电科技股份有限公司"	"03130393"	"CN200510041043.5"	"2006.02.22"
"江苏长电科技股份有限公司"	"03130393"	"CN200510041044.X"	"2006.02.22"
"江苏长电科技股份有限公司"	"03130393"	"CN200510041069.X"	"2006.02.22"
"江苏长电科技股份有限公司"	"03130393"	"CN200510041070.2"	"2006.02.22"
"江苏长电科技股份有限公司"	"03130393"	"CN200520073724.5"	"2006.10.25"
"江苏长电科技股份有限公司"	"03130393"	"CN200520073725.X"	"2006.10.25"
"江苏长电科技股份有限公司"	"03130393"	"CN200520073726.4"	"2006.10.25"
"江苏长电科技股份有限公司"	"03130393"	"CN200520073727.9"	"2006.10.25"
"江苏长电科技股份有限公司"	"03130393"	"CN200520074060.4"	"2006.11.08"
"江苏长电科技股份有限公司"	"03130393"	"CN200520074061.9"	"2006.09.20"
"江苏长电科技股份有限公司"	"03130393"	"CN200510041274.6"	"2006.02.22"
"江苏长电科技股份有限公司"	"03130393"	"CN200510041275.0"	"2006.02.22"
"比亚迪股份有限公司"	"T000001787"	"CN200520035234.6"	"2006.09.06"
"天津环球磁卡股份有限公司"	"02600800"	"CN200520027230.3"	"2006.10.25"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200520086760.5"	"2006.09.20"
"武汉海特生物制药股份有限公司"	"00216154"	"CN200510019392.7"	"2006.03.29"
"深圳迈瑞生物医疗电子股份有限公司"	"T000138376"	"CN200530071135.9"	"2006.08.16"
"中兴通讯股份有限公司"	"01000063"	"CN200510117417.7"	"2007.05.09"
"中国石油化工股份有限公司"	"03130019"	"CN200510104513.8"	"2006.07.12"
"天水华天科技股份有限公司"	"03134173"	"CN200510022727.0"	"2007.06.20"
"上海贝岭股份有限公司"	"02600171"	"CN200510111586.X"	"2007.06.20"
"比亚迪股份有限公司"	"T000001787"	"CN200520121034.2"	"2007.02.07"
"武汉海特生物制药股份有限公司"	"00216154"	"CN200510120550.8"	"2006.09.20"
"武汉海特生物制药股份有限公司"	"00216154"	"CN200610018279.1"	"2006.09.20"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620081130.3"	"2007.02.28"
"广东榕泰实业股份有限公司"	"03130010"	"CN200610011391.2"	"2007.09.05"
"南宁八菱科技股份有限公司"	"T000044563"	"CN200620200257.2"	"2007.05.23"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610043602.0"	"2006.09.13"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620083217.4"	"2007.06.06"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620083218.9"	"2007.04.04"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620083219.3"	"2007.04.18"
"江苏长电科技股份有限公司"	"03130393"	"CN200610039920.X"	"2006.10.25"
"康佳集团股份有限公司"	"01000016"	"CN200620013516.0"	"2007.12.26"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620083343.X"	"2007.05.23"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620083342.5"	"2007.04.18"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200630091553.9"	"2007.04.04"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200630091554.3"	"2007.03.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200630091555.8"	"2007.03.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200630091556.2"	"2007.02.14"
"浪潮电子信息产业股份有限公司"	"01000977"	"CN200620083523.8"	"2007.12.12"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620083728.6"	"2007.03.28"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620083732.2"	"2007.05.30"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620083731.8"	"2007.08.08"
"浪潮电子信息产业股份有限公司"	"01000977"	"CN200610043883.X"	"2006.09.27"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620083836.3"	"2007.05.23"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200630091968.6"	"2007.03.21"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610044259.1"	"2006.12.20"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610044260.4"	"2006.10.18"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620084518.9"	"2007.08.08"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620084520.6"	"2007.07.11"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620084521.0"	"2007.05.23"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620084935.3"	"2007.06.06"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610044593.7"	"2006.10.25"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200630092246.2"	"2007.03.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200630092247.7"	"2007.03.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200630092248.1"	"2007.03.21"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085034.6"	"2007.06.06"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085037.X"	"2007.06.06"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610044519.5"	"2006.11.08"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610044518.0"	"2006.11.15"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085036.5"	"2007.05.23"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085039.9"	"2007.05.23"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085035.0"	"2007.07.25"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085419.2"	"2007.06.06"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085424.3"	"2007.05.30"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610044696.3"	"2006.11.15"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610044644.6"	"2006.11.15"
"浪潮电子信息产业股份有限公司"	"01000977"	"CN200620085552.8"	"2007.06.20"
"浪潮电子信息产业股份有限公司"	"01000977"	"CN200610044776.9"	"2006.11.22"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085915.8"	"2007.07.11"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085916.2"	"2007.07.11"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085917.7"	"2007.07.11"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085920.9"	"2007.08.08"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620085921.3"	"2007.07.11"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086059.8"	"2007.08.29"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610045113.9"	"2008.01.02"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610045080.8"	"2006.11.29"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610045082.7"	"2006.11.29"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610045083.1"	"2006.12.06"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610045081.2"	"2006.11.29"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610045079.5"	"2006.11.29"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610045084.6"	"2006.11.29"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086109.2"	"2007.07.25"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086058.3"	"2007.08.22"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610045078.0"	"2007.01.17"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610045112.4"	"2007.01.24"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086063.4"	"2007.08.29"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086110.5"	"2007.08.08"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086113.9"	"2007.08.29"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086114.3"	"2007.08.15"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086115.8"	"2007.08.15"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086116.2"	"2007.08.08"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086041.8"	"2007.10.10"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086042.2"	"2007.08.15"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086060.0"	"2007.08.08"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086062.X"	"2007.09.26"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086040.3"	"2007.08.08"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086064.9"	"2007.08.08"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086061.5"	"2007.08.15"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620086112.4"	"2007.08.15"
"中兴通讯股份有限公司"	"01000063"	"CN200610090452.9"	"2008.01.02"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620087429.X"	"2007.08.15"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620087993.1"	"2007.08.29"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620087995.0"	"2007.08.22"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620087996.5"	"2007.08.29"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620087997.X"	"2007.08.22"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620087998.4"	"2007.08.22"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620087999.9"	"2007.08.29"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610069851.7"	"2007.02.21"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610069852.1"	"2007.02.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610069853.6"	"2007.02.14"
"比亚迪股份有限公司"	"T000001787"	"CN200610062503.7"	"2008.03.12"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200630095851.5"	"2007.07.25"
"比亚迪股份有限公司"	"T000001787"	"CN200620014726.1"	"2007.10.24"
"康佳集团股份有限公司"	"01000016"	"CN200610063134.3"	"2007.05.30"
"经纬纺织机械股份有限公司"	"01000666"	"CN200610150254.7"	"2008.04.23"
"经纬纺织机械股份有限公司"	"01000666"	"CN200620148652.0"	"2008.03.12"
"上海贝岭股份有限公司"	"02600171"	"CN200610117585.0"	"2008.04.30"
"中兴通讯股份有限公司"	"01000063"	"CN200610164969.8"	"2008.03.05"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620011934.6"	"2007.11.28"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200630199045.2"	"2007.11.21"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620011935.0"	"2007.11.28"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620011936.5"	"2007.11.28"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200620011937.X"	"2007.11.28"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610070745.0"	"2007.06.06"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200610070746.5"	"2007.06.06"
"康佳集团股份有限公司"	"01000016"	"CN200620016568.3"	"2007.11.28"
"中兴通讯股份有限公司"	"01000063"	"CN200610170327.9"	"2008.07.02"
"上海贝岭股份有限公司"	"02600171"	"CN200610148350.8"	"2008.07.02"
"深圳市同洲电子股份有限公司"	"03131819"	"CN200620175636.0"	"2007.12.19"
"乐普(北京)医疗器械股份有限公司"	"T000025726"	"CN200610156171.9"	"2008.07.02"
"乐普(北京)医疗器械股份有限公司"	"T000025726"	"CN200610156172.3"	"2008.07.02"
"四川长虹电器股份有限公司"	"02600839"	"CN200720078111.X"	"2008.05.07"
"江苏长电科技股份有限公司"	"03130393"	"CN200710019238.9"	"2007.07.18"
"江苏长电科技股份有限公司"	"03130393"	"CN200710019239.3"	"2007.07.18"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200710013054.1"	"2007.07.25"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720018711.7"	"2008.01.23"
"四川长虹电器股份有限公司"	"02600839"	"CN200710048449.5"	"2007.08.29"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200730015519.8"	"2008.02.13"
"比亚迪股份有限公司"	"T000001787"	"CN200720119994.4"	"2008.03.19"
"比亚迪股份有限公司"	"T000001787"	"CN200710074403.0"	"2008.11.12"
"比亚迪股份有限公司"	"T000001787"	"CN200710074500.X"	"2008.11.19"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200730015068.8"	"2008.05.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200730015690.9"	"2008.03.12"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720022369.8"	"2008.03.26"
"中兴通讯股份有限公司"	"01000063"	"CN200710099482.0"	"2008.11.26"
"乐普(北京)医疗器械股份有限公司"	"T000025726"	"CN200710107643.6"	"2008.11.26"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200730016195.X"	"2008.05.14"
"四川长虹电器股份有限公司"	"02600839"	"CN200710049164.3"	"2007.11.28"
"宁波康强电子股份有限公司"	"03133306"	"CN200720109692.9"	"2008.04.23"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720022956.7"	"2008.03.26"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720022957.1"	"2008.03.12"
"乐普(北京)医疗器械股份有限公司"	"T000025726"	"CN200710105816.0"	"2008.12.03"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200710015840.5"	"2007.11.07"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200730016823.4"	"2008.07.09"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720023119.6"	"2008.03.26"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720023309.8"	"2008.03.26"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720023307.9"	"2008.06.18"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720023308.3"	"2008.06.18"
"康佳集团股份有限公司"	"01000016"	"CN200720120869.5"	"2008.05.21"
"乐普(北京)医疗器械股份有限公司"	"T000025726"	"CN200710111272.9"	"2008.12.24"
"山东大正医疗器械股份有限公司"	"T000141574"	"CN200730018034.4"	"2009.08.05"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200710016670.2"	"2008.01.16"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720025023.3"	"2008.05.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720025024.8"	"2008.05.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720025025.2"	"2008.05.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720025021.4"	"2008.05.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200730018606.9"	"2008.06.18"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200730018257.0"	"2008.05.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200730018436.4"	"2008.08.20"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720024903.9"	"2008.05.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720024904.3"	"2008.05.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720024907.7"	"2008.05.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720024908.1"	"2008.05.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200730018437.9"	"2009.01.07"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720024906.2"	"2008.06.18"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720024905.8"	"2008.06.11"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200730017874.9"	"2008.06.11"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200730017875.3"	"2008.07.09"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720025236.6"	"2008.05.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720025237.0"	"2008.05.14"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720025834.3"	"2008.06.11"
"宁波康强电子股份有限公司"	"03133306"	"CN200710070199.5"	"2008.01.23"
"宝山钢铁股份有限公司"	"02600019"	"CN200710093969.8"	"2009.01.28"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720026307.4"	"2008.08.06"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720026734.2"	"2008.07.16"
"比亚迪股份有限公司"	"T000001787"	"CN200710076721.0"	"2009.03.04"
"比亚迪股份有限公司"	"T000001787"	"CN200710076726.3"	"2009.03.04"
"比亚迪股份有限公司"	"T000001787"	"CN200710076827.0"	"2009.03.04"
"康佳集团股份有限公司"	"01000016"	"CN200710076852.9"	"2008.04.02"
"江苏宏图高科技股份有限公司"	"02600122"	"CN200720045462.0"	"2008.09.17"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720028330.7"	"2008.07.09"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720028331.1"	"2008.07.09"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720028332.6"	"2008.07.09"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720028333.0"	"2008.07.16"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200710112976.8"	"2008.02.27"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200710112977.2"	"2008.02.27"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720028349.1"	"2008.07.09"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720028350.4"	"2008.08.13"
"山东新华医疗器械股份有限公司"	"03130186"	"CN200720028352.3"	"2008.08.13"
