tensor(-8.4821)	tensor(-9.6476)	tensor(-8.0399)	tensor(-9.6599)	tensor(-9.2839)	tensor(-7.3293)	tensor(-3.6899)	tensor(-6.9019)	tensor(-6.6092)	tensor(-5.2817)	tensor(-5.9396)	tensor(-8.1217)	tensor(-2.4958)	tensor(1.3531)	tensor(-6.1333)	tensor(-6.0010)	tensor(-4.4029)	tensor(-7.1805)	tensor(-5.2308)	tensor(-8.7708)	tensor(-11.7523)	tensor(-10.0244)	tensor(-8.5203)	tensor(-10.1535)	tensor(-13.7023)	tensor(-9.0014)	tensor(-7.4760)	tensor(-8.4242)	tensor(-8.6940)	tensor(-8.3541)	tensor(-7.1591)	tensor(-4.3230)	tensor(-6.3384)	tensor(-3.2902)	tensor(-9.4979)	tensor(-7.4465)	tensor(-6.3976)	tensor(-9.6071)	tensor(-7.2777)	tensor(-6.9929)	
tensor(-10.3523)	tensor(-9.7175)	tensor(-8.8748)	tensor(-10.7538)	tensor(-10.3438)	tensor(-11.4525)	tensor(-9.8795)	tensor(-11.1219)	tensor(-10.2026)	tensor(-13.0353)	tensor(-9.8645)	tensor(-11.7895)	tensor(-8.6786)	tensor(-10.1648)	tensor(-9.4854)	tensor(-9.2674)	tensor(-9.2837)	tensor(-8.5371)	tensor(-8.4571)	tensor(-10.0310)	tensor(-13.6308)	tensor(-11.5737)	tensor(-10.0599)	tensor(-10.6368)	tensor(-13.9356)	tensor(-10.2481)	tensor(-9.1309)	tensor(-10.0147)	tensor(-10.1789)	tensor(-9.8822)	tensor(-11.6279)	tensor(-8.8370)	tensor(-11.3657)	tensor(-9.3038)	tensor(-12.1491)	tensor(-12.3929)	tensor(-12.8257)	tensor(-9.6790)	tensor(-5.9265)	tensor(-4.6950)	
tensor(-8.8177)	tensor(-9.5238)	tensor(-8.1012)	tensor(-10.4077)	tensor(-9.3555)	tensor(-9.9845)	tensor(-7.9559)	tensor(-9.3443)	tensor(-10.4405)	tensor(-12.3191)	tensor(-9.0685)	tensor(-9.8000)	tensor(-8.0210)	tensor(-8.9520)	tensor(-9.7179)	tensor(-8.8473)	tensor(-7.5955)	tensor(-6.9699)	tensor(-7.3376)	tensor(-9.5960)	tensor(-12.0766)	tensor(-10.9239)	tensor(-8.7955)	tensor(-10.1578)	tensor(-13.5345)	tensor(-9.2641)	tensor(-7.7062)	tensor(-9.4850)	tensor(-8.9159)	tensor(-8.5000)	tensor(-10.4305)	tensor(-8.4332)	tensor(-10.4186)	tensor(-8.3865)	tensor(-10.6613)	tensor(-11.5849)	tensor(-12.0439)	tensor(-7.4937)	tensor(-1.3753)	tensor(-5.7895)	
tensor(-8.7729)	tensor(-8.6034)	tensor(-7.2892)	tensor(-8.8772)	tensor(-8.8472)	tensor(-8.5816)	tensor(-7.5287)	tensor(-8.5195)	tensor(-9.3103)	tensor(-11.1014)	tensor(-7.2584)	tensor(-9.4571)	tensor(-6.7552)	tensor(-7.7858)	tensor(-8.7210)	tensor(-7.6407)	tensor(-6.2736)	tensor(-6.9316)	tensor(-6.5169)	tensor(-9.1190)	tensor(-12.2025)	tensor(-10.4268)	tensor(-8.6755)	tensor(-8.7497)	tensor(-12.9625)	tensor(-8.4801)	tensor(-7.2468)	tensor(-9.0133)	tensor(-7.8085)	tensor(-8.3045)	tensor(-9.9446)	tensor(-6.0175)	tensor(-10.2034)	tensor(-6.8994)	tensor(-10.1181)	tensor(-9.5806)	tensor(-10.5448)	tensor(-7.1314)	tensor(-1.7614)	tensor(-4.1795)	
tensor(-9.9915)	tensor(-10.0931)	tensor(-9.3050)	tensor(-11.3327)	tensor(-10.4453)	tensor(-11.3576)	tensor(-9.8668)	tensor(-10.7501)	tensor(-11.9306)	tensor(-13.1201)	tensor(-10.7390)	tensor(-11.7680)	tensor(-9.0947)	tensor(-10.4564)	tensor(-10.8409)	tensor(-10.1361)	tensor(-9.1906)	tensor(-8.5037)	tensor(-8.1304)	tensor(-10.2528)	tensor(-13.6594)	tensor(-11.3925)	tensor(-10.5263)	tensor(-11.1615)	tensor(-14.8130)	tensor(-10.1782)	tensor(-9.2220)	tensor(-10.5698)	tensor(-9.8876)	tensor(-9.9865)	tensor(-11.5311)	tensor(-9.3832)	tensor(-11.6347)	tensor(-9.8196)	tensor(-11.8857)	tensor(-13.7896)	tensor(-13.2753)	tensor(-8.4779)	tensor(-3.7983)	tensor(-7.3664)	
tensor(-8.3861)	tensor(-8.6218)	tensor(-7.3567)	tensor(-9.7099)	tensor(-8.7919)	tensor(-10.0721)	tensor(-8.1170)	tensor(-8.8338)	tensor(-9.3401)	tensor(-11.7342)	tensor(-9.0839)	tensor(-10.7130)	tensor(-7.2500)	tensor(-8.0365)	tensor(-8.6412)	tensor(-7.7380)	tensor(-7.1551)	tensor(-7.1155)	tensor(-7.4062)	tensor(-8.7637)	tensor(-12.3821)	tensor(-10.0892)	tensor(-8.8528)	tensor(-10.0385)	tensor(-13.6861)	tensor(-9.0038)	tensor(-7.8965)	tensor(-8.5391)	tensor(-8.2702)	tensor(-8.2119)	tensor(-10.1330)	tensor(-6.5599)	tensor(-10.6019)	tensor(-7.5247)	tensor(-10.4312)	tensor(-10.5566)	tensor(-10.8817)	tensor(-7.0756)	tensor(-2.0371)	tensor(-1.7952)	
tensor(-10.3844)	tensor(-11.1017)	tensor(-9.1938)	tensor(-11.3497)	tensor(-10.8842)	tensor(-11.5659)	tensor(-10.1674)	tensor(-11.9131)	tensor(-12.4880)	tensor(-13.3378)	tensor(-10.6043)	tensor(-12.5425)	tensor(-8.9689)	tensor(-10.5243)	tensor(-11.6141)	tensor(-11.1651)	tensor(-9.7258)	tensor(-9.6668)	tensor(-9.0198)	tensor(-11.0007)	tensor(-15.0190)	tensor(-13.1330)	tensor(-10.6502)	tensor(-11.5352)	tensor(-14.0939)	tensor(-10.4932)	tensor(-9.7919)	tensor(-11.1918)	tensor(-10.1632)	tensor(-10.4364)	tensor(-12.0817)	tensor(-10.2390)	tensor(-12.3452)	tensor(-10.2557)	tensor(-12.2117)	tensor(-13.2074)	tensor(-12.9016)	tensor(-11.1994)	tensor(-9.7895)	tensor(-11.2008)	
tensor(-9.9807)	tensor(-11.4729)	tensor(-9.3180)	tensor(-11.4865)	tensor(-10.5728)	tensor(-12.2156)	tensor(-9.6911)	tensor(-12.2715)	tensor(-12.6147)	tensor(-14.0722)	tensor(-10.8293)	tensor(-12.8512)	tensor(-9.5556)	tensor(-11.2168)	tensor(-11.5576)	tensor(-10.7096)	tensor(-9.7554)	tensor(-9.2534)	tensor(-8.9995)	tensor(-10.9044)	tensor(-14.8822)	tensor(-13.1598)	tensor(-10.5573)	tensor(-11.3755)	tensor(-15.1906)	tensor(-10.0176)	tensor(-10.0539)	tensor(-10.9637)	tensor(-10.6686)	tensor(-9.9135)	tensor(-12.3560)	tensor(-9.9642)	tensor(-12.6421)	tensor(-10.0004)	tensor(-12.5126)	tensor(-14.1825)	tensor(-13.6444)	tensor(-11.2270)	tensor(-8.5370)	tensor(-10.1768)	
tensor(-6.7410)	tensor(-6.5345)	tensor(-5.2914)	tensor(-7.3809)	tensor(-6.8230)	tensor(-8.4119)	tensor(-6.2101)	tensor(-8.4534)	tensor(-7.8001)	tensor(-11.0920)	tensor(-7.1581)	tensor(-8.9216)	tensor(-5.3772)	tensor(-6.9207)	tensor(-7.0050)	tensor(-5.7235)	tensor(-5.4189)	tensor(-4.9410)	tensor(-5.2271)	tensor(-6.7155)	tensor(-10.0744)	tensor(-8.2124)	tensor(-7.1466)	tensor(-8.1041)	tensor(-11.7653)	tensor(-6.9371)	tensor(-5.5208)	tensor(-6.5680)	tensor(-6.4740)	tensor(-6.2219)	tensor(-8.0460)	tensor(-4.7388)	tensor(-8.6023)	tensor(-5.8083)	tensor(-9.0352)	tensor(-9.2155)	tensor(-9.0487)	tensor(-4.1398)	tensor(1.6287)	tensor(1.5830)	
tensor(-8.0610)	tensor(-8.6921)	tensor(-7.0357)	tensor(-8.6870)	tensor(-8.0368)	tensor(-7.5028)	tensor(-5.5143)	tensor(-6.4634)	tensor(-6.9894)	tensor(-9.4322)	tensor(-6.2515)	tensor(-7.2790)	tensor(-3.3752)	tensor(-5.1231)	tensor(-7.4286)	tensor(-6.3509)	tensor(-4.3594)	tensor(-6.6023)	tensor(-4.3134)	tensor(-7.9538)	tensor(-10.3835)	tensor(-9.3440)	tensor(-8.2265)	tensor(-9.4802)	tensor(-12.4002)	tensor(-7.9706)	tensor(-6.5351)	tensor(-8.3195)	tensor(-8.4430)	tensor(-7.4287)	tensor(-8.2030)	tensor(-3.8773)	tensor(-7.1566)	tensor(-4.4590)	tensor(-9.3285)	tensor(-8.5342)	tensor(-9.1615)	tensor(-8.6914)	tensor(-6.1768)	tensor(-6.6395)	
tensor(-7.9659)	tensor(-7.6921)	tensor(-6.9817)	tensor(-8.3302)	tensor(-8.1264)	tensor(-9.5030)	tensor(-7.8223)	tensor(-10.0559)	tensor(-9.7598)	tensor(-11.6200)	tensor(-8.0292)	tensor(-10.3464)	tensor(-6.9361)	tensor(-8.1600)	tensor(-9.2714)	tensor(-9.0021)	tensor(-5.5808)	tensor(-6.7285)	tensor(-5.4471)	tensor(-3.0610)	tensor(-10.8415)	tensor(-8.0570)	tensor(-7.5959)	tensor(-6.7012)	tensor(-12.7437)	tensor(-7.8039)	tensor(-7.2882)	tensor(-5.6805)	tensor(-5.7912)	tensor(-6.6189)	tensor(-10.3695)	tensor(-7.7417)	tensor(-10.0021)	tensor(-7.5990)	tensor(-10.5971)	tensor(-10.9517)	tensor(-10.7778)	tensor(-8.9753)	tensor(-7.8115)	tensor(-8.3663)	
tensor(-8.6676)	tensor(-9.9409)	tensor(-8.2259)	tensor(-9.9543)	tensor(-9.5043)	tensor(-9.1252)	tensor(-6.0921)	tensor(-9.6571)	tensor(-8.7876)	tensor(-11.0212)	tensor(-8.3088)	tensor(-10.2147)	tensor(-5.1886)	tensor(-3.4868)	tensor(-8.6585)	tensor(-7.9297)	tensor(-7.0953)	tensor(-8.5162)	tensor(-5.6969)	tensor(-10.1932)	tensor(-12.0012)	tensor(-10.7198)	tensor(-8.4154)	tensor(-10.6978)	tensor(-13.4952)	tensor(-9.4714)	tensor(-8.7661)	tensor(-10.0708)	tensor(-9.1108)	tensor(-8.7661)	tensor(-9.7635)	tensor(-6.7942)	tensor(-8.8938)	tensor(-6.6299)	tensor(-10.2604)	tensor(-9.7452)	tensor(-9.3642)	tensor(-9.6862)	tensor(-7.3071)	tensor(-7.4818)	
tensor(-10.3508)	tensor(-11.2487)	tensor(-10.0417)	tensor(-11.3802)	tensor(-11.1851)	tensor(-10.4936)	tensor(-8.8266)	tensor(-10.8462)	tensor(-10.9379)	tensor(-11.4081)	tensor(-9.2734)	tensor(-10.0622)	tensor(-8.2798)	tensor(-8.4395)	tensor(-10.5959)	tensor(-9.0061)	tensor(-4.0715)	tensor(-9.9972)	tensor(-7.9543)	tensor(-11.2532)	tensor(-13.1115)	tensor(-12.2105)	tensor(-10.9802)	tensor(-12.2126)	tensor(-14.3290)	tensor(-11.3086)	tensor(-9.7258)	tensor(-11.1739)	tensor(-10.5160)	tensor(-10.5153)	tensor(-10.8591)	tensor(-7.4740)	tensor(-9.8351)	tensor(-8.3939)	tensor(-11.5813)	tensor(-11.4741)	tensor(-12.1016)	tensor(-11.0145)	tensor(-9.4120)	tensor(-9.4207)	
tensor(-7.4730)	tensor(-8.0699)	tensor(-6.8000)	tensor(-8.8726)	tensor(-8.0488)	tensor(-6.5395)	tensor(-2.9376)	tensor(-7.6540)	tensor(-6.4321)	tensor(-6.2010)	tensor(-5.8403)	tensor(-7.1594)	tensor(-2.3227)	tensor(1.4872)	tensor(-5.9442)	tensor(-5.1412)	tensor(-4.2151)	tensor(-7.2071)	tensor(-4.0799)	tensor(-8.1644)	tensor(-11.2280)	tensor(-9.8388)	tensor(-7.7261)	tensor(-9.6935)	tensor(-12.6525)	tensor(-7.9728)	tensor(-6.4553)	tensor(-8.1525)	tensor(-7.7337)	tensor(-7.4476)	tensor(-6.6848)	tensor(-3.3143)	tensor(-5.9622)	tensor(-2.4222)	tensor(-7.9652)	tensor(-6.9391)	tensor(-5.9672)	tensor(-8.5994)	tensor(-6.0604)	tensor(-5.3154)	
tensor(-10.4246)	tensor(-10.4991)	tensor(-8.8242)	tensor(-11.2307)	tensor(-10.6231)	tensor(-10.9211)	tensor(-9.4249)	tensor(-10.1449)	tensor(-11.5098)	tensor(-13.4274)	tensor(-10.0864)	tensor(-11.7260)	tensor(-9.3465)	tensor(-10.2527)	tensor(-10.4617)	tensor(-9.9255)	tensor(-9.3904)	tensor(-9.1434)	tensor(-8.8057)	tensor(-11.0385)	tensor(-13.6277)	tensor(-11.3277)	tensor(-10.1422)	tensor(-11.2723)	tensor(-14.5725)	tensor(-10.6274)	tensor(-9.5214)	tensor(-10.0621)	tensor(-10.1656)	tensor(-10.1323)	tensor(-11.8003)	tensor(-9.3459)	tensor(-11.4815)	tensor(-9.7655)	tensor(-12.0691)	tensor(-12.6650)	tensor(-12.5217)	tensor(-8.3513)	tensor(-2.6807)	tensor(-5.0837)	
tensor(-8.3349)	tensor(-8.3895)	tensor(-7.4220)	tensor(-9.2978)	tensor(-8.8208)	tensor(-9.8840)	tensor(-7.6421)	tensor(-8.8583)	tensor(-8.4298)	tensor(-11.4968)	tensor(-8.0408)	tensor(-10.6103)	tensor(-6.4759)	tensor(-7.4972)	tensor(-8.3811)	tensor(-6.7786)	tensor(-6.7540)	tensor(-6.8825)	tensor(-6.2866)	tensor(-8.7902)	tensor(-11.0890)	tensor(-10.4455)	tensor(-8.2480)	tensor(-9.5401)	tensor(-12.6519)	tensor(-8.8522)	tensor(-7.7670)	tensor(-8.7998)	tensor(-8.6719)	tensor(-8.2428)	tensor(-10.2755)	tensor(-6.8732)	tensor(-10.6575)	tensor(-7.9350)	tensor(-10.7598)	tensor(-10.1882)	tensor(-10.7184)	tensor(-7.2572)	tensor(-2.8053)	tensor(-1.5486)	
tensor(-8.7342)	tensor(-8.5039)	tensor(-7.1746)	tensor(-9.3816)	tensor(-9.6876)	tensor(-10.6849)	tensor(-8.7959)	tensor(-10.3472)	tensor(-9.9703)	tensor(-12.7979)	tensor(-8.9311)	tensor(-10.7474)	tensor(-8.3293)	tensor(-9.2385)	tensor(-9.3249)	tensor(-8.0015)	tensor(-7.6769)	tensor(-6.4707)	tensor(-8.2213)	tensor(-8.7770)	tensor(-12.3546)	tensor(-10.3542)	tensor(-8.4567)	tensor(-9.6009)	tensor(-13.1846)	tensor(-9.5672)	tensor(-7.5183)	tensor(-8.6370)	tensor(-8.5374)	tensor(-9.1784)	tensor(-10.1362)	tensor(-7.4536)	tensor(-10.5921)	tensor(-8.3698)	tensor(-10.1955)	tensor(-11.7306)	tensor(-11.3428)	tensor(-8.3653)	tensor(-4.1409)	tensor(-3.4953)	
tensor(-8.6826)	tensor(-8.5156)	tensor(-7.8597)	tensor(-9.8348)	tensor(-9.6993)	tensor(-10.0986)	tensor(-8.9040)	tensor(-10.2841)	tensor(-10.0651)	tensor(-12.3869)	tensor(-9.7188)	tensor(-11.4090)	tensor(-8.2347)	tensor(-8.9534)	tensor(-9.7555)	tensor(-7.8599)	tensor(-7.8444)	tensor(-7.0109)	tensor(-7.9211)	tensor(-9.7517)	tensor(-12.4771)	tensor(-9.6659)	tensor(-8.9907)	tensor(-10.1529)	tensor(-13.8253)	tensor(-9.8479)	tensor(-7.7103)	tensor(-9.3302)	tensor(-8.8070)	tensor(-8.9368)	tensor(-11.0101)	tensor(-8.3181)	tensor(-10.9163)	tensor(-8.6626)	tensor(-9.9669)	tensor(-11.1853)	tensor(-11.0189)	tensor(-7.7279)	tensor(-4.3543)	tensor(-4.1509)	
tensor(-8.0663)	tensor(-7.7388)	tensor(-7.1136)	tensor(-8.9746)	tensor(-9.4986)	tensor(-9.6140)	tensor(-7.9626)	tensor(-10.3929)	tensor(-8.7255)	tensor(-11.9407)	tensor(-8.9586)	tensor(-9.9762)	tensor(-7.7476)	tensor(-8.7359)	tensor(-9.3752)	tensor(-8.3365)	tensor(-7.3585)	tensor(-6.1567)	tensor(-8.0664)	tensor(-8.6656)	tensor(-12.9143)	tensor(-9.3264)	tensor(-8.5546)	tensor(-9.0975)	tensor(-13.1877)	tensor(-9.4618)	tensor(-7.1293)	tensor(-7.9858)	tensor(-7.9803)	tensor(-8.9922)	tensor(-10.0198)	tensor(-7.7149)	tensor(-10.2149)	tensor(-7.9431)	tensor(-10.4196)	tensor(-11.4057)	tensor(-10.1721)	tensor(-8.8305)	tensor(-4.2776)	tensor(-4.9544)	
